from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","https://www.bleepingcomputer.com/news/security/mgm-resorts-ransomware-attack-led-to-100-million-loss-data-theft/","Source"
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","https://www.infosecurity-magazine.com/news/mgm-resorts-dollar100m-costs/","Source"
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","https://www.techtarget.com/searchsecurity/news/366554695/MGM-faces-100M-loss-from-ransomware-attack","Source"
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","https://www.forbes.com/sites/steveweisman/2025/03/12/mgm-ransomware--attack-update/","Source"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","https://www.pymnts.com/news/security-and-risk/2023/report-caesars-entertainment-paid-15-million-ransom-after-cyberattack/","Source"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","https://www.cnbc.com/2023/09/14/caesars-paid-millions-in-ransom-to-cybercrime-group-prior-to-mgm-hack.html","Source"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","https://cybernews.com/news/caesars-15m-ransom-sec-breach-report-6t-stolen-data/","Source"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","https://www.chainalysis.com/blog/chainalysis-fbi-caesars-ransomware-recovery/","Source"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","https://www.cohenmilstein.com/case-study/caesars-data-breach-litigation/","Source"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident","https://www.bleepingcomputer.com/news/security/carnival-cruise-confirms-data-breach-affecting-nearly-6-million-people/","Source"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident","https://www.malwarebytes.com/blog/data-breaches/2026/05/carnival-confirms-data-breach-impacting-nearly-6-million","Source"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident","https://www.securityweek.com/carnival-data-breach-exposed-6-million-people/","Source"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident","https://www.helpnetsecurity.com/2026/05/28/carnival-corporation-data-breach/","Source"
"Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Incident","https://www.cyberdaily.au/security/11128-exclusive-sydney-based-compass-group-confirms-medusa-ransomware-attack","Source"
"Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Incident","https://www.cyberdaily.au/security/11139-exclusive-australian-compass-group-confirms-second-hack","Source"
"Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Incident","https://www.halcyon.ai/attacks/medusa-ransomware-hits-compass-group-australia-in-major-cyberattack","Source"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident","https://www.bleepingcomputer.com/news/security/panera-bread-week-long-it-outage-caused-by-ransomware-attack/","Source"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident","https://www.bleepingcomputer.com/news/security/panera-warns-of-employee-data-breach-after-march-ransomware-attack/","Source"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident","https://www.restaurantbusinessonline.com/technology/panera-breads-digital-outage-reportedly-blamed-ransomware-attack","Source"
"Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Incident","https://www.bleepingcomputer.com/news/security/nordic-choice-hotels-hit-by-conti-ransomware-no-ransom-demand-yet/","Source"
"Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Incident","https://www.bitdefender.com/en-us/blog/hotforsecurity/nordic-choice-hotels-confirm-ransomware-attack","Source"
"Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Incident","https://www.intelligentciso.com/2021/12/08/nordic-choice-hotels-hit-by-conti-ransomware/","Source"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident","https://chicago.suntimes.com/2023/11/17/23965433/rivers-casino-data-breach-des-plaines-hackers","Source"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident","https://www.comparitech.com/news/ransomware-gang-claims-data-breach-at-philadelphia-casino-ssns-and-bank-account-info-leaked/","Source"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident","https://www.redpacketsecurity.com/cicada3301-ransomware-victim-rivers-casino-and-rush-street-gaming/","Source"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident","https://cdcgaming.com/brief/illinois-rivers-casino-des-plaines-hit-with-class-action-over-data-breach/","Source"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident","https://hackread.com/anubis-ransomware-lists-disneyland-paris-new-victim/","Source"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident","https://www.scworld.com/brief/disneyland-paris-data-allegedly-stolen-by-anubis-ransomware","Source"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident","https://cybernews.com/security/anubis-ransomware-gang-claims-disneyland-paris/","Source"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident","https://dailysecurityreview.com/security-spotlight/anubis-ransomware-gang-claims-64gb-disneyland-paris-leak-in-alleged-construction-data-breach/","Source"
"Accommodation, Food Services, Arts and Entertainment::Inspired Entertainment, Inc.","Incident","https://www.sec.gov/Archives/edgar/data/1615063/000149315223042355/form8-k.htm","Source"
"Accommodation, Food Services, Arts and Entertainment::Yum! Brands, Inc.","Incident","https://www.sec.gov/Archives/edgar/data/1041061/000110465923004769/tm233852d1_8k.htm","Source"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident","https://www.cnbc.com/2021/06/09/jbs-paid-11-million-in-response-to-ransomware-attack-.html","Source"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident","https://www.bleepingcomputer.com/news/security/jbs-paid-11-million-to-revil-ransomware-225m-first-demanded/","Source"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident","https://en.wikipedia.org/wiki/JBS_S.A._ransomware_attack","Source"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident","https://iowacapitaldispatch.com/2023/06/11/jbss-cybersecurity-was-unusually-poor-prior-to-2021-ransomware-attack-internal-homeland-security-records-show/","Source"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident","https://www.securityweek.com/united-natural-foods-projects-up-to-400m-sales-hit-from-june-cyberattack/","Source"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident","https://www.cybersecuritydive.com/news/unfi-cyberattack-reduce-quarterly-earnings/751849/","Source"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident","https://cyberscoop.com/united-natural-foods-cyberattack-400-million/","Source"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident","https://www.grocerydive.com/news/unfi-cyberattack-losses-insurance-grocery-distribution/753223/","Source"
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident","https://industrialcyber.co/critical-infrastructure/dole-ransomware-incident-affected-half-of-its-legacy-servers-with-direct-costs-reaching-10-5-million/","Source"
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident","https://www.theregister.com/2023/02/23/dole_ransomware_attack/","Source"
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident","https://www.cybersecuritydive.com/news/dole-ransomware-breached-data-workers/653650/","Source"
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident","https://www.sec.gov/Archives/edgar/data/1857475/000162828023018832/dole-20230331_d2.htm","Source"
"Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Incident","https://www.securityweek.com/ahold-delhaize-data-breach-impacts-2-2-million-people/","Source"
"Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Incident","https://www.bleepingcomputer.com/news/security/ahold-delhaize-confirms-data-theft-after-inc-ransomware-claims-attack/","Source"
"Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Incident","https://www.cybersecuritydive.com/news/ahold-delhaize-confirms-data-stolen-after-threat-group-claims-credit-for-no/745715/","Source"
"Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","Incident","https://www.washingtonpost.com/business/2021/09/21/new-cooperative-hack-ransomware/","Source"
"Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","Incident","https://industrialcyber.co/news/blackmatter-ransomware-group-strikes-new-cooperative-makes-demand-of-5-9-million/","Source"
"Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","Incident","https://www.farmprogress.com/business/blackmatter-hits-grain-cooperative-with-ransomware-attack","Source"
"Agriculture, Forestry, Fishing and Food Production::KP Snacks","Incident","https://www.bleepingcomputer.com/news/security/kp-snacks-giant-hit-by-conti-ransomware-deliveries-disrupted/","Source"
"Agriculture, Forestry, Fishing and Food Production::KP Snacks","Incident","https://www.computerweekly.com/news/252512873/Crisp-supply-shortage-looms-after-KP-Snacks-hit-by-ransomware","Source"
"Agriculture, Forestry, Fishing and Food Production::KP Snacks","Incident","https://www.cpomagazine.com/cyber-security/conti-ransomware-attack-on-uks-kp-snacks-to-cause-major-supply-chain-problems-for-popular-treats/","Source"
"Agriculture, Forestry, Fishing and Food Production::Maple Leaf Foods","Incident","https://www.bleepingcomputer.com/news/security/kp-snacks-giant-hit-by-conti-ransomware-deliveries-disrupted/","Source"
"Agriculture, Forestry, Fishing and Food Production::Maple Leaf Foods","Incident","https://api.ransomware.live/v2/sectorvictims/Agriculture%20and%20Food%20Production","Source"
"Construction::Ferrovial","Incident","https://www.ransomware.live/id/RmVycm92aWFsQEFpTG9jaw==","Source"
"Construction::Ferrovial","Incident","https://sosransomware.com/en/ransomware-groups/ailock-ransomware-the-raas-operator-threatening-to-alert-regulators-and-competitors/","Source"
"Construction::Ferrovial","Incident","https://darkwebinformer.com/ransomware-attack-update-july-14th-2026/","Source"
"Construction::Balfour Beatty","Incident","https://www.ransomware.live/id/QmFsZm91ciBCZWF0dHlAaW5jcmFuc29t","Source"
"Construction::Balfour Beatty","Incident","https://www.ransomware.live/id/QmFsZm91ciBCZWF0dHlAY29pbmJhc2VjYXJ0ZWw","Source"
"Construction::Balfour Beatty","Incident","https://www.dexpose.io/coinbasecartel-strikes-balfour-beatty-in-uk-ransomware-attack/","Source"
"Construction::Balfour Beatty","Incident","https://www.breachsense.com/breaches/balfour-beatty-data-breach/","Source"
"Construction::Bechtel Corporation","Incident","https://www.dexpose.io/clop-ransomware-targets-bechtel-corporation/","Source"
"Construction::Bechtel Corporation","Incident","https://www.cybersecuritydive.com/news/hackers-clop-extortion-campaign-executives/801808/","Source"
"Construction::Bechtel Corporation","Incident","https://dailydarkweb.net/clop-ransomware-group-lists-39-global-victims-including-mazda-canon/","Source"
"Construction::Kier Group plc (KIER.CO.UK)","Incident","https://www.dexpose.io/clop-ransomware-targets-kier-co-uk-in-uk-cyberattack/","Source"
"Construction::Kier Group plc (KIER.CO.UK)","Incident","https://ransomware.live/id/S0lFUi5DTy5VS0BjbG9w","Source"
"Construction::Kier Group plc (KIER.CO.UK)","Incident","https://www.breachsense.com/breaches/kier-group-data-breach/","Source"
"Construction::Kajima Europe","Incident","https://www.dexpose.io/qilin-ransomware-strikes-kajima-europe/","Source"
"Construction::Kajima Europe","Incident","https://botcrawl.com/kajima-europe-data-breach/","Source"
"Construction::Kajima Europe","Incident","https://cyble.com/blog/europe-ransomware-attacks-q3-2025/","Source"
"Construction::AECOM","Incident","https://www.breachsense.com/breaches/aecom-com/","Source"
"Construction::AECOM","Incident","https://www.malwarebytes.com/blog/news/2021/03/pysa-the-ransomware-attacking-schools","Source"
"Construction::AECOM","Incident","https://www.upguard.com/security-report/aecom","Source"
"Construction::Turner Construction Company","Incident","https://www.ransomware.live/group/everest","Source"
"Construction::Turner Construction Company","Incident","https://cti.fyi/groups/everest.html","Source"
"Construction::Turner Construction Company","Incident","https://www.ransomware.live/activity/Construction","Source"
"Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Incident","https://www.bleepingcomputer.com/news/security/powerschool-hacker-now-extorting-individual-school-districts/","Source"
