id,metric,value,source,source_url,scope
"Accommodation, Food Services, Arts and Entertainment::total hospitality and tourism sector victims listed cumulative since 2018 leak site monitoring began","Total Hospitality and Tourism sector victims listed (cumulative, since ~2018 leak-site monitoring began)","771 victims (as of 2026-07-19)","ransomware.live v2 API (sectorvictims/Hospitality and Tourism) and ransomware.live sector activity page","https://api.ransomware.live/v2/sectorvictims/Hospitality%20and%20Tourism","industry"
"Accommodation, Food Services, Arts and Entertainment::top ransomware groups by victim count in this sector of the 771 tracked","Top ransomware groups by victim count in this sector (of the 771 tracked)","LockBit3 (50), Qilin (62), Akira (48), Play (38), LockBit2 (29), Medusa (23), IncRansom (23), RansomHub (25), DragonForce (21), Clop (21)","ransomware.live v2 API sector victim data, aggregated by this analysis","https://api.ransomware.live/v2/sectorvictims/Hospitality%20and%20Tourism","industry"
"Accommodation, Food Services, Arts and Entertainment::share of ransomwarelive tracked sector victims located in the us","Share of ransomware.live-tracked sector victims located in the US","~218 of 584 victims with a listed country (~37%), followed by GB (38), FR (31), ES (31), CA (23), AU (17), DE (17), IT (16)","ransomware.live v2 API sector victim data, aggregated by this analysis","https://api.ransomware.live/v2/sectorvictims/Hospitality%20and%20Tourism","industry"
"Accommodation, Food Services, Arts and Entertainment::retail sector closest published proxy vertical to hospitality f and b median ransom payment 2025","Retail sector (closest published proxy vertical to hospitality/F&B) median ransom payment, 2025","$1,000,000 (up from $950K in 2024); median ransom demand doubled to $2,000,000","Sophos State of Ransomware in Retail 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-retail-2025","industry"
"Accommodation, Food Services, Arts and Entertainment::retail sector share paying the ransom 2025","Retail sector share paying the ransom, 2025","58% of organizations with encrypted data paid (2nd-highest rate in 5 years)","Sophos State of Ransomware in Retail 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-retail-2025","industry"
"Accommodation, Food Services, Arts and Entertainment::retail sector average ransomware recovery cost excluding ransom 2025","Retail sector average ransomware recovery cost (excluding ransom), 2025","$1.65 million (mean), down 40% year-over-year","Sophos State of Ransomware in Retail 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-retail-2025","industry"
"Accommodation, Food Services, Arts and Entertainment::cross industry average ransomware recovery cost excluding ransom 2025","Cross-industry average ransomware recovery cost (excluding ransom), 2025","$1.53 million (mean), down 44% from $2.73M in 2024","Sophos State of Ransomware 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2025","industry"
"Accommodation, Food Services, Arts and Entertainment::cross industry average ransomware downtime","Cross-industry average ransomware downtime","~24 days average; 53% of victims recovered within a week","Sophos State of Ransomware 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2025","industry"
"Accommodation, Food Services, Arts and Entertainment::global average ransom payment q2 2025","Global average ransom payment, Q2 2025","Mean $1.13 million / Median $400,000","Coveware Quarterly Ransomware Report Q2 2025","https://www.veeam.com/company/press-release/coveware-by-veeam-reveals-q2-2025-ransomware-surge-social-engineering-and-data-exfiltration-drive-record-payouts.html","industry"
"Accommodation, Food Services, Arts and Entertainment::global average ransom payment q4 2025","Global average ransom payment, Q4 2025","Mean $591,988 / Median $325,000","Coveware Quarterly Ransomware Report Q4 2025","https://www.coveware.com/ransomware-quarterly-reports","industry"
"Accommodation, Food Services, Arts and Entertainment::ransomware present in breaches cross industry accommodation food services cited as exposed to saas third party supply chain compromises alongside retail","Ransomware present in breaches, cross-industry (accommodation/food services cited as exposed to SaaS/third-party supply-chain compromises alongside retail)","44% of all breaches involved ransomware (up from 32% prior year); third-party involvement in 30% of breaches (up from ~15%)","Verizon 2025 Data Breach Investigations Report","https://www.verizon.com/business/resources/reports/2025-dbir-data-breach-investigations-report.pdf","industry"
"Accommodation, Food Services, Arts and Entertainment::global on chain ransomware payments 2025","Global on-chain ransomware payments, 2025","$820 million total (down ~8% YoY from $892M); median payment rose 368% to $59,556 even as total claimed attacks rose ~50%","Chainalysis 2026 Crypto Crime Report (2025 ransomware data)","https://www.chainalysis.com/blog/crypto-crime-ransomware-victim-extortion-2025/","industry"
"Accommodation, Food Services, Arts and Entertainment::cost of a data breach industries including hospitality entertainment retail bucking the general 2025 cost decline","Cost of a data breach, industries including hospitality/entertainment/retail bucking the general 2025 cost decline","Global average breach cost fell 9% to $4.44M in 2025, but entertainment, media, hospitality, education, retail and public sector cost trends moved against that decline (rose); US average breach cost hit $10.22M","IBM Cost of a Data Breach Report 2025","https://www.ibm.com/reports/data-breach","industry"
"Agriculture, Forestry, Fishing and Food Production::food and agriculture sector ransomware incidents tracked in 2025","Food & Agriculture sector ransomware incidents tracked in 2025","265 incidents, accounting for ~4.2% of 6,377 total ransomware incidents tracked across all sectors","Food and Ag-ISAC / IT-ISAC 2025 Ransomware Report (via Industrial Cyber and The Record)","https://industrialcyber.co/reports/food-and-ag-isac-reports-82-surge-in-ransomware-attacks-as-qilin-akira-and-cl0p-lead-campaigns-against-sector/","industry"
"Agriculture, Forestry, Fishing and Food Production::food and agriculture sector ransomware incidents in 2024","Food & Agriculture sector ransomware incidents in 2024","212 incidents (~5.8% of 3,494 total tracked ransomware incidents)","Food and Ag-ISAC / IT-ISAC 2024 Ransomware Report","https://www.agdaily.com/news/how-ransomware-attacks-impacted-ag-in-2024/","industry"
"Agriculture, Forestry, Fishing and Food Production::year over year growth in overall ransomware volume 2024 to 2025","Year-over-year growth in overall ransomware volume (2024 to 2025)","82% increase (3,508 tracked incidents in 2024 to 6,377 in 2025); food & ag attacks roughly doubled year over year","Food and Ag-ISAC 2025 Ransomware Report","https://therecord.media/ransomware-attacks-food-and-ag-double-2025","industry"
