from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Inspired Entertainment, Inc.","Incident"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::Yum! Brands, Inc.","Incident"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Incident"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","Incident"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::KP Snacks","Incident"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::Maple Leaf Foods","Incident"
"Construction","Industry","Construction::Ferrovial","Incident"
"Construction","Industry","Construction::Balfour Beatty","Incident"
"Construction","Industry","Construction::Bechtel Corporation","Incident"
"Construction","Industry","Construction::Kier Group plc (KIER.CO.UK)","Incident"
"Construction","Industry","Construction::Kajima Europe","Incident"
"Construction","Industry","Construction::AECOM","Incident"
"Construction","Industry","Construction::Turner Construction Company","Incident"
"Educational Services","Industry","Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Incident"
"Educational Services","Industry","Educational Services::Instructure Holdings, Inc. (Canvas LMS)","Incident"
"Educational Services","Industry","Educational Services::University of Hawai'i Cancer Center","Incident"
"Educational Services","Industry","Educational Services::Highline Public Schools","Incident"
"Educational Services","Industry","Educational Services::British Library","Incident"
"Educational Services","Industry","Educational Services::University of Manchester","Incident"
"Educational Services","Industry","Educational Services::Minneapolis Public Schools (Special School District No. 1)","Incident"
"Educational Services","Industry","Educational Services::Los Angeles Unified School District (LAUSD)","Incident"
"Energy and Utilities","Industry","Energy and Utilities::Colonial Pipeline","Incident"
"Energy and Utilities","Industry","Energy and Utilities::Halliburton","Incident"
"Energy and Utilities","Industry","Energy and Utilities::Suncor Energy / Petro-Canada","Incident"
"Energy and Utilities","Industry","Energy and Utilities::Encevo Group (Creos & Enovos, Luxembourg)","Incident"
"Energy and Utilities","Industry","Energy and Utilities::Conpet","Incident"
"Energy and Utilities","Industry","Energy and Utilities::Ecopetrol","Incident"
"Energy and Utilities","Industry","Energy and Utilities::Newpark Resources, Inc.","Incident"
"Finance and Insurance","Industry","Finance and Insurance::CNA Financial Corporation","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Industrial and Commercial Bank of China (ICBC) - U.S. broker-dealer/financial services unit","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Fidelity National Financial (FNF)","Incident"
"Finance and Insurance","Industry","Finance and Insurance::ION Group / ION Cleared Derivatives","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Evolve Bank & Trust","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Central Bank of Libya","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Frost Bank and Citizens Financial Group (Citizens Bank) - shared third-party vendor breach","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Deutsche Bank (via third-party marketing/incentive platform vendor)","Incident"
"Finance and Insurance","Industry","Finance and Insurance::SEI Investments Company","Incident"
"Finance and Insurance","Industry","Finance and Insurance::River Financial Corporation","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Navient Corporation","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Prudential Financial, Inc.","Incident"
"Finance and Insurance","Industry","Finance and Insurance::Globe Life Inc.","Incident"
"Healthcare and Social Assistance","Industry","Healthcare and Social Assistance::Change Healthcare (subsidiary of UnitedHealth Group/Optum)","Incident"
"Healthcare and Social Assistance","Industry","Healthcare and Social Assistance::Universal Health Services (UHS) — ~400 US hospitals/care sites","Incident"
