from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::total hospitality and tourism sector victims listed cumulative since 2018 leak site monitoring began","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::top ransomware groups by victim count in this sector of the 771 tracked","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::share of ransomwarelive tracked sector victims located in the us","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::retail sector closest published proxy vertical to hospitality f and b median ransom payment 2025","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::retail sector share paying the ransom 2025","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::retail sector average ransomware recovery cost excluding ransom 2025","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::cross industry average ransomware recovery cost excluding ransom 2025","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::cross industry average ransomware downtime","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::global average ransom payment q2 2025","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::global average ransom payment q4 2025","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::ransomware present in breaches cross industry accommodation food services cited as exposed to saas third party supply chain compromises alongside retail","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::global on chain ransomware payments 2025","Statistic"
"Accommodation, Food Services, Arts and Entertainment","Industry","Accommodation, Food Services, Arts and Entertainment::cost of a data breach industries including hospitality entertainment retail bucking the general 2025 cost decline","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::food and agriculture sector ransomware incidents tracked in 2025","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::food and agriculture sector ransomware incidents in 2024","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::year over year growth in overall ransomware volume 2024 to 2025","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::top ransomware groups targeting food and agriculture 2025","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::ransomwarelive agriculture and food production sector victim postings cumulative 2019 2026","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::average ransom payment all sectors 2024","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::organizations hit by ransomware in the prior year all sectors 2024","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::total cost of an average ransomware attack all in 2024","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::downtime sensitivity in food and beverage","Statistic"
"Agriculture, Forestry, Fishing and Food Production","Industry","Agriculture, Forestry, Fishing and Food Production::sector ranking among critical infrastructure 2025","Statistic"
"Construction","Industry","Construction::total construction sector victims recorded all time through mid july 2026","Statistic"
"Construction","Industry","Construction::construction sector victims by year 2021 2026 partial 2026","Statistic"
"Construction","Industry","Construction::most active ransomware groups targeting construction all time victim count","Statistic"
"Construction","Industry","Construction::top countries for construction sector victims","Statistic"
"Construction","Industry","Construction::percentage of ransomware victims all industries who paid the ransom 2025","Statistic"
