industry,type,category,description,subcategories
"Accommodation, Food Services, Arts and Entertainment","hazard","Initial access vectors","How ransomware/extortion actors most commonly breach organizations in this sector, reflecting its large, high-turnover, geographically distributed workforce and heavy vendor reliance.","Help-desk / call-center social engineering and vishing to reset MFA or credentials (Scattered Spider-style attacks on MGM, Caesars) | Phishing and callback phishing (e.g., Silent Ransom Group-style tactics) | Compromised or purchased credentials, often sourced via infostealer malware from employee or third-party devices | Exploitation of internet-facing PMS, booking, or POS software vulnerabilities | Compromise of third-party IT support/managed service providers with privileged remote access | Compromise via franchise/partner networks with shared or federated access to corporate systems"
"Accommodation, Food Services, Arts and Entertainment","hazard","Extortion tactics","The mix of pressure techniques ransomware/extortion groups apply against hospitality, food-service, and entertainment targets, which have historically shown high willingness to pay to avoid guest-facing outages during peak periods.","Encryption of operational systems (PMS, POS, reservations) causing immediate, highly visible service disruption | Data exfiltration and double/triple extortion (threatening publication of guest/loyalty PII, ID scans, financial data) | Direct harassment of executives, guests, or loyalty-program members with stolen data | Publication of sensitive operational or IP-like materials (e.g., unreleased attraction designs, menus, pricing) as leverage distinct to entertainment/theme-park operators | Timing attacks to coincide with peak seasons, holidays, or major events to maximize revenue-loss pressure and increase likelihood of ransom payment | Pure data-theft extortion without encryption (e.g., ShinyHunters/Scattered Spider-linked groups increasingly skip encryption and threaten-to-leak only)"
"Accommodation, Food Services, Arts and Entertainment","hazard","Operational technology (OT) and physical-safety-adjacent risk","Unlike pure back-office IT sectors, hospitality/entertainment venues integrate IT with physical operations, so a ransomware event can directly disrupt guest safety, access, and physical service delivery, not just data confidentiality.","Casino floor and gaming-machine network disruption | Digital door-lock and access-control system failures stranding guests or preventing check-in | Point-of-sale/payment terminal outages forcing cash-only operations | Ride/attraction control and building-management system exposure at theme parks and large venues | Kitchen, ordering, and inventory system outages disrupting food safety and service continuity"
"Accommodation, Food Services, Arts and Entertainment","hazard","Third-party and supply-chain risk","The sector's heavy reliance on franchising, outsourced IT, shared SaaS booking/POS platforms, and contractors creates concentrated single points of failure that can cascade across many brands and properties.","Managed service provider (MSP) / IT help-desk vendor compromise (root cause of MGM and Caesars incidents) | SaaS booking, PMS, or supply-chain platform compromise affecting many downstream hotel/restaurant brands simultaneously (mirrors Blue Yonder-type incidents Verizon DBIR flagged for accommodation/food services) | Construction, renovation, or facilities contractor breaches exposing sensitive operational data (Disneyland Paris partner breach) | Franchise/master-licensor shared infrastructure compromise cascading to independently owned locations | Payment processor or gift-card platform compromise"
"Accommodation, Food Services, Arts and Entertainment","hazard","Insider and workforce-related risk","High employee turnover, seasonal/temporary staffing, and broad front-line system access (POS, PMS, key systems) common to this sector elevate both malicious-insider and credential-hygiene risk.","High staff turnover creating stale/orphaned credentials and inconsistent access de-provisioning | Seasonal and temporary/contract staff with broad system access and less security training | Front-desk/POS-level social engineering targets (staff empowered to make account/reservation changes) | Shared or weakly managed credentials across large, decentralized property networks"
"Accommodation, Food Services, Arts and Entertainment","hazard","Regulatory, contractual and reputational exposure","Data-protection, payment-card, and consumer-protection obligations that shape breach costs and downstream liability specific to guest-data-heavy businesses.","PCI-DSS obligations for any entity processing card payments (hotels, restaurants, casinos, ticketing) | State/national breach-notification laws (frequent driver of disclosed incident detail in this sector, as seen in Maine AG filings) | Gaming-commission and casino-regulator compliance obligations | GDPR/international privacy law exposure for globally operating hotel chains and cruise lines | Consumer class-action litigation risk following large loyalty-program or guest-data breaches (MGM, Caesars, Marriott) | Brand/reputational risk disproportionate to direct financial loss, given guest-trust-dependent business models"
"Accommodation, Food Services, Arts and Entertainment","exposure","Guest-facing reservation and property systems","Core operational software that, if encrypted or disrupted, halts check-in/out, room assignment, and bookings, causing immediate revenue and reputational loss.","Property Management Systems (PMS) for hotels/resorts | Central reservation systems (CRS) and channel managers (OTA integrations) | Digital room-key / electronic lock systems | Restaurant/venue reservation and table-management platforms | Ticketing and admissions systems (theme parks, museums, theaters, sporting/entertainment venues) | Event and conference booking platforms"
"Accommodation, Food Services, Arts and Entertainment","exposure","Payment and point-of-sale (POS) infrastructure","High-volume, PCI-DSS-regulated transaction systems across hotels, restaurants, casinos, and venues that are prime ransomware/extortion targets due to payment card data and operational criticality.","POS terminals and back-office POS servers (restaurants, bars, retail outlets, cafés) | Payment gateways and card-present processing systems | Gift card / stored-value and mobile-order-ahead platforms | Casino cage, kiosk, and cashless-wagering systems | ATMs and self-service payment kiosks on-premises"
"Accommodation, Food Services, Arts and Entertainment","exposure","Guest and member personal data (PII)","Large repositories of sensitive personal and financial data accumulated through loyalty programs, bookings, and identity verification, making this sector attractive for double-extortion data leaks.","Loyalty/rewards program databases (names, contact info, tier/points data) | Government ID data (passport, driver's license, national ID numbers) collected for check-in/KYC/casino compliance | Social Security / national insurance numbers (employee and, in some jurisdictions, guest records) | Payment card and billing data | Health/dietary/accessibility data (spas, cruise lines, event catering) | Minors' data (theme parks, family resorts, youth programs)"
"Accommodation, Food Services, Arts and Entertainment","exposure","Casino- and gaming-specific systems","Specialized OT/IT-blended systems unique to the gaming vertical within this sector, where downtime directly halts revenue-generating floor operations.","Slot machine and cashless wagering networks | Surveillance and physical security systems (often networked to IT) | Player-tracking / rewards-card systems | Sports betting and online gaming platforms | Regulatory/compliance reporting systems (gaming commissions)"
