id,sector_tag,incident_count,overview,distinct,extortion_leverage,downtime_tolerance
"Accommodation, Food Services, Arts and Entertainment","Hospitality and Tourism","10","The Accommodation, Food Services, Arts and Entertainment industry (ransomware.live sector tag ""Hospitality and Tourism"") is a high-frequency, high-visibility ransomware target: 771 victims have been tracked on ransomware.live's leak-site monitoring platform since roughly 2018, spanning hotels, casinos, restaurants, theme parks, cruise lines, museums, theaters, and travel/tour operators across 65+ countries (with the US, GB, FR, ES, CA, AU, DE and IT most represented). The sector is attacked by a broad spread of ransomware groups -- LockBit (in its 2/3/5 variants), Qilin, Akira, Play, Medusa, IncRansom, RansomHub, DragonForce and Clop are the most prolific -- and has produced some of the highest-profile ransomware incidents in history (MGM Resorts, Caesars Entertainment) due to the combination of large, valuable guest/loyalty databases, PCI-regulated payment systems, IT/OT-blended physical operations (casino floors, digital key/lock systems, POS), heavy third-party/franchise dependency, and a business model highly sensitive to even brief guest-facing downtime -- all of which make organizations in this sector both frequent targets and comparatively willing payers.","771 tracked victims across 65+ countries spanning hotels, casinos, restaurants, theme parks, cruise lines and museums. Distinctively franchised and multi-site, with inconsistent security maturity across properties and heavy seasonal revenue concentration. Casino and gaming operations add regulator-supervised systems and cage/loyalty data. Guest-facing outages are immediately public and directly convert to booking loss and brand damage.","Guest-facing service disruption timed to peak periods, combined with exposure of guest PII, payment card data and loyalty records.","Low to moderate. Days in the ordinary course, but effectively hours during peak season or a major event, when a single weekend outage can absorb a quarter's margin."
"Agriculture, Forestry, Fishing and Food Production","Agriculture and Food Production","7","The Agriculture, Forestry, Fishing and Food Production sector is a designated critical-infrastructure sector (Food & Agriculture / FA) that has become one of the fastest-growing ransomware targets. It spans a ""farm-to-fork"" chain of primary producers (crop farms, livestock/poultry, dairy, aquaculture/fisheries, forestry/timber), cooperatives and grain elevators, agri-input suppliers (seed, fertilizer, agrochemicals), food and beverage processors/manufacturers, cold-storage and logistics providers, and grocery/food distributors. The sector's defining risk characteristic is an extraordinarily low tolerance for downtime: perishable inputs and finished goods spoil, livestock require continuous feeding/climate control, and processing is time-and-temperature critical, so an IT outage rapidly cascades into physical, food-safety and food-security consequences. This combination — thin IT/OT security maturity, seasonal/just-in-time operations, heavy automation (SCADA in plants, precision-ag telematics, automated milking/feeding), and consolidation that concentrates single points of failure (a handful of meatpackers, one dominant grocery distributor) — makes victims unusually likely to pay ra","A designated critical-infrastructure sector and one of the fastest-growing targets, spanning farm-to-fork from primary producers through cooperatives, processors, cold-storage and distribution. Defining characteristic is perishability: unlike any other sector, the inventory itself degrades during an outage, so downtime destroys assets rather than merely deferring revenue. Heavy concentration in a few large processors and cooperatives controlling large throughput shares, paired with generally low security maturity among producers, creates food-security consequence at national scale.","Spoilage-driven urgency and disruption of processing and cold chain, amplified by food-security and public-health visibility.","Extremely low during harvest, processing and cold-chain operation — hours before irreversible product loss; higher in off-season and administrative functions."
"Construction","Construction","7","The Construction sector (general contractors, engineering/design firms, infrastructure operators, homebuilders, specialty trades, and building-materials suppliers) is one of the most heavily and consistently targeted industries by ransomware groups. Ransomware.live's full victim dataset shows 1,362 distinct Construction-sector victims posted to ransomware leak sites from 2019 through mid-July 2026, with volume climbing sharply from 2021 onward and 2025 alone accounting for 513 posted victims - more than any prior full year (2026 already shows 267 through mid-July). The sector combines several features attackers find attractive: large numbers of small/mid-size subcontractors with weak security maturity sitting inside supply chains for very large general contractors and government owners; time-sensitive, contractually penalized project schedules that increase pressure to pay quickly; large transient, multi-employer workforces with sprawling credential/access footprints; and high-value intellectual property (design/BIM data, bids, proprietary engineering methods) alongside sensitive employee PII (payroll, SSNs) in HR/finance systems. Victims range from small regional contractors to th","1,362 distinct victims posted 2019 through mid-July 2026, with 2025 alone accounting for 513 — more than any prior full year, and 267 already recorded through mid-July 2026. Distinguished by project-based rather than continuous operations, low IT maturity relative to revenue, and a highly fragmented subcontractor web that widens the trust boundary. Bid and tender data is uniquely sensitive: its exposure creates competitive rather than regulatory harm. Government-owner project work pulls public-sector data and clearance obligations into scope.","Exposure of confidential bid, contract and design data plus project schedule delay and associated liquidated damages; encryption leverage is comparatively weaker.","Moderate to high. Days to weeks. Physical site work continues during an IT outage, though payroll, procurement and design-file access degrade progressively."
"Educational Services","Education","8","The ransomware.live Education sector dataset returned 1,296 named victims spanning 2016 through 20 July 2026. Volume by year shows the sector's escalation and persistence: 2016 (2), 2017 (1), 2018 (2), 2019 (4), 2020 (15), 2021 (74), 2022 (157), 2023 (307), 2024 (248), 2025 (328), and 158 already recorded in the first ~7 months of 2026. 2023 and 2025 are the peak full years; the 2024 dip did not hold, and 2026 is tracking broadly in line with recent years. Attribution is highly fragmented, with 135 distinct groups named. The top claimants across the full period are lockbit3 (114), qilin (73), incransom (72), vicesociety (63), rhysida (57), pysa (50), medusa (45), clop (44), ransomhub (43), and safepay (39); the top ten groups account for only 46.3% of postings, confirming a long tail of smaller and short-lived brands. Composition has shifted materially: restricting to 2025-2026, the leaders become qilin (65), incransom (47), safepay (29), interlock (25), thegentlemen (24), lockbit5 (19), fog (19), nova (18), shinyhunters (14), and rhysida (13) - i.e. LockBit-era dominance and the education-specialist Vice Society and PYSA brands have been displaced by Qilin, INC Ransom, Interlock a","1,295 tracked victim records, rising from 15 in 2020 to 307 in 2023 and 328 in 2025, with 157 already in the first seven months of 2026 — a sustained upward trajectory. Heavily US-concentrated (519 of 946 country-attributed records) and dominated by LockBit3 (114), Qilin (73), INC Ransom (72), Vice Society (63) and Rhysida (57); the prominence of Vice Society and Rhysida reflects deliberate specialization in schools and universities as soft, data-rich, under-defended targets. Distinctive combination of open-by-design networks, BYOD and research-collaboration culture, minors' data raising notification sensitivity, and constrained appropriated budgets that limit both prevention spend and ranso","Exposure of student records including minors' data, staff PII and research IP, plus disruption timed to enrollment, examination and term-start pressure points.","Moderate to high in absolute terms — days to weeks absorbed by academic calendars — but sharply lower at term start, enrollment and examination periods. Weak budget capacity for both ransom and rapid restoration means outages run longer than tolerance alone would predict."
"Energy and Utilities","Energy","7","The Energy and Utilities sector (ransomware.live tag ""Energy,"" ~826 indexed victim records at time of research) spans oil & gas exploration/production, pipelines and midstream transport, refining, oilfield services, electric power generation/transmission/distribution, gas distribution, and water/wastewater utilities. It is a top-tier ransomware target because it blends two high-leverage traits: (1) it is critical national infrastructure where downtime has cascading physical, economic, and public-safety consequences, giving attackers extraordinary extortion leverage; and (2) it runs a large, aging, and often flat-networked mix of IT and operational technology (OT/ICS/SCADA). Even when malware only hits corporate IT, operators frequently shut down OT preemptively out of caution (as Colonial Pipeline and Conpet did), so IT-only intrusions still cause operational and physical-world disruption (fuel shortages, offline payment at fuel retail, halted shipment planning). Financially the sector is among the most expensive to recover: Sophos put mean recovery cost for energy/oil-gas/utilities at ~$3.12M (2024), IBM put average energy-sector breach cost at $4.83M, and the sector reports the h","Roughly 826 indexed victims across oil and gas, pipelines, refining, power generation and transmission, and water/wastewater. Blends critical-national-infrastructure status — where downtime carries cascading physical, economic and public-safety consequence — with large, aged, geographically dispersed OT estates. Uniquely, the precautionary IT/OT shutdown is itself the loss event: operators halt physical operations defensively when IT is compromised, as Colonial Pipeline showed, so business interruption occurs even where OT is never touched. Heaviest regulatory overlay including CIRCIA and sector-specific mandates.","Threat to physical operational continuity and public-safety consequence, giving attackers extraordinary leverage disproportionate to the data actually held.","Extremely low. Minutes to hours for grid, pipeline and water operations, where interruption is a public-safety and regulatory event, not merely a commercial one."
"Finance and Insurance","Financial Services","13","Finance and insurance is one of the most consistently targeted industries in the ransomware threat landscape, combining three features attackers prize: high-value, tightly regulated data (PII, account/payment details, claims and underwriting data); low tolerance for downtime given real-time payment, trading, and claims obligations; and deep interdependency through vendors, fintech partners, and market infrastructure that lets a single compromise cascade well beyond one victim. Recent ransomware.live data (100 most-recent sector-tagged victims, spanning roughly April-July 2026) shows the sector being hit across the full spectrum of institution types - community banks and credit unions, insurers and brokers, wealth/asset managers, fintech and payments firms, and even a central bank - by a wide range of groups (Qilin, Everest, DragonForce, Akira, Everest, LockBit successors, Lapsus$, and newer entrants like Unsafe and Krybit), with double-extortion (encrypt-and-exfiltrate) now the dominant pattern. Notable historical and recent incidents illustrate two especially distinctive hazards for this industry versus others: (1) systemic/market-contagion risk, where ransomware against a market-","Combines the highest-value regulated data with real-time payment, trading and claims obligations and dense interconnection through fintech partners and market infrastructure that permits contagion beyond the direct victim. Generally the most mature sector in controls, capital and recovery capability, which lowers payment likelihood while raising regulatory and systemic-risk scrutiny under GLBA and, for EU-touching entities, DORA.","Exposure of customer PII/PFI, account and counterparty data, plus regulatory and market-confidence consequence. Availability leverage is real for payments and trading but blunted by mature redundancy.","Very low for transaction processing and settlement (minutes to hours); moderate for back-office and underwriting functions."
"Healthcare and Social Assistance","Healthcare","15","Healthcare and Social Assistance is one of the most heavily targeted sectors in the ransomware ecosystem, driven by a combination of low tolerance for downtime (patient safety), high-value PHI, fragmented and legacy IT/OT environments, and a long tail of small, under-resourced providers (clinics, home health agencies, billing firms) alongside a handful of giant, deeply interconnected health systems and claims processors. Ransomware.live's ""Healthcare"" sector tag currently lists 2,443 posted victims spanning 2015-2026 (dataset pulled 2026-07-19/20), with the pace of incidents accelerating sharply since 2020 (34 in 2020 vs. 627 in 2025 and 387 already in the first ~6.5 months of 2026). The threat-actor landscape is fragmented across 206 distinct named groups in the dataset, with Qilin (178), LockBit3 (143), Inc Ransom (128), BianLian (92), RansomHub (81), Clop (72), ALPHV/BlackCat (68), Everest (63) and Medusa (63) the most prolific against this sector. Geographically the US dominates (1,092 recorded victims), followed by the UK (58), Australia (58), Canada (57), India (56), Germany (55), France (47) and Brazil (45), reflecting both the concentration of large private health systems i","2,443 posted victims with sharply accelerating pace. The only sector where both extortion levers are simultaneously severe: PHI carries the most punitive and mechanically triggered regulatory regime (HIPAA breach notification, OCR investigation, near-automatic class-action follow-on), while downtime is a patient-safety event producing ambulance diversion and delayed treatment. Fragmented estates, unpatchable connected medical devices, and a long tail of small under-resourced providers sit alongside a few giant claims processors whose compromise cascades industry-wide.","Dual: patient-safety-driven urgency to restore clinical operations, plus PHI publication carrying regulatory penalty and litigation exposure.","Lowest of any sector. Hours for clinical and emergency systems, where outage translates directly into patient harm rather than financial loss alone."
"Information Technology","Technology","17","The Information Technology sector (software vendors, IT-services/MSPs, SaaS/cloud hosts, distributors, semiconductor/EDA and telecom-adjacent firms) is one of the two most-targeted industries in ransomware, consistently ranking behind only manufacturing. Its defining risk feature is systemic/aggregation exposure: IT companies sit upstream of thousands of downstream customers, so a single intrusion into an MSP platform (Kaseya), a managed file-transfer product (MOVEit/Progress), a SaaS provider (CDK Global), or a distributor (Ingram Micro) cascades into mass downstream outages and data loss far larger than the direct victim. Beyond encryption-based extortion, the sector is disproportionately exposed to data-theft/leak extortion and intellectual-property theft (source code, chip designs, product blueprints). Common initial-access paths are the sector's own internet-facing edge (VPNs, RMM tools, MFT appliances), leaked/infostealer credentials, and exploitation of vulnerabilities in products the companies themselves ship. Regulatory exposure is intensifying (SEC cyber-disclosure rules, GDPR, breach-notification statutes, and large class-action liability). Sector-level economics per Sop","One of the two most-targeted industries, behind only manufacturing. Its defining feature is systemic aggregation exposure: software vendors, MSPs, SaaS hosts and distributors sit upstream of thousands of customers, so a single intrusion cascades into mass downstream outage and data loss — Kaseya, MOVEit, CDK Global and Ingram Micro each proved this at scale. For a cyber portfolio this is the sector most capable of generating a single correlated accumulation event across an entire book, and privileged remote-management access makes IT firms both victim and weapon.","Downstream customer impact and reputational destruction of the platform, plus source code, IP and customer data theft. Contractual liability to thousands of customers often dwarfs the insured's own restoration cost.","Very low. Minutes to hours for SaaS and hosting under contractual SLAs, with customer attrition and contractual penalties beginning almost immediately."
"Manufacturing","Manufacturing","20","Manufacturing has been the single most-targeted sector by ransomware operators for five consecutive years through 2025, driven by a combination of high operational-downtime sensitivity (which pressures victims toward paying quickly), widespread reliance on legacy OT/ICS equipment with long refresh cycles, deep tiered supply-chain interdependency that multiplies contingent business-interruption exposure, and valuable intellectual property/trade-secret data. The ransomware.live ""Manufacturing"" sector tag alone contains 4,434 recorded victim postings, with year-over-year posting volume roughly quadrupling from 2021 (295) to 2025 (1,204), and the sector accounting for an estimated one in four ransomware attacks globally by 2025 per industry trackers. Attack economics are shifting: per Sophos's 2025 manufacturing-specific report, successful encryption rates have fallen sharply (74% to 40% YoY) as defenses improve, but attackers are compensating by shifting toward pure data theft and extortion, and average ransom demands against manufacturers have risen even as median demands/payments across all sectors trend down. High-profile incidents — from Norsk Hydro's ~$70M LockerGoga attack (2019","The most-targeted sector for five consecutive years through 2025, with 4,434 leak-site postings. Combines legacy OT/ICS estates on decade-plus refresh cycles with deep tiered supply-chain interdependency and valuable trade-secret data. A weak IT/OT boundary means an IT-side encryption event routinely halts physical production, and a single Tier-2 supplier outage idles multiple OEMs, producing contingent business interruption invisible on the direct victim's own policy.","Production downtime. Ransom is priced against per-hour output loss and contractual delivery penalties, secondarily against theft of designs, process IP and trade secrets.","Very low. Hours to a few days; continuous-process and just-in-time operations tolerate least, and idle-line cost accrues immediately regardless of data outcome."
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Business Services","8","This composite industry group spans consultancies, IT/managed services, law and accounting firms, engineering firms, staffing and BPO providers, travel management companies, commercial real estate services, and wholesale/logistics distributors. Ransomware.live's 'Business Services' sector tag is one of the most heavily populated on the platform, logging dozens of new claimed victims per week in mid-2026, with RaaS/extortion groups Qilin, DragonForce, INC Ransom, TheGentlemen, Akira, RansomHouse, Deadlock, and data-extortion crews like ShinyHunters posting new victims almost daily. The sector's risk profile is distinctive because these firms sit at a structural chokepoint: (1) they hold sensitive, often privileged or regulated client/third-party data (legal, financial, M&A, PII) that amplifies extortion leverage; (2) many are themselves suppliers/vendors (MSPs, SAP integrators, BPOs, staffing firms, travel managers) whose compromise cascades into downstream client organizations, making them attractive 'one-to-many' targets; and (3) wholesale trade/logistics operations depend on time-sensitive order, warehouse, and freight systems where even short outages create cascading supply-chai","One of the most heavily populated leak-site categories, logging dozens of new claimed victims weekly in mid-2026. Spans consultancies, MSPs, law and accounting firms, engineering, staffing/BPO, commercial real estate and wholesale distribution. The defining feature is custodianship of other organizations' confidential material: privileged legal files, audit workpapers, M&A data and client PII. A single firm's breach becomes many clients' breach, and MSPs within this group double as an access path into downstream victims.","Confidentiality of privileged and client-owned data, with professional-liability, contractual and regulatory consequence flowing to clients rather than only the insured.","Moderate to high. Days to weeks for most advisory work; wholesale/logistics sub-segments are materially tighter due to order and fulfilment obligations."
