from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment","Industry","guest facing reservation and property systems","Exposure"
"Accommodation, Food Services, Arts and Entertainment","Industry","payment and point of sale pos infrastructure","Exposure"
"Accommodation, Food Services, Arts and Entertainment","Industry","guest and member personal data pii","Exposure"
"Accommodation, Food Services, Arts and Entertainment","Industry","casino and gaming specific systems","Exposure"
"Accommodation, Food Services, Arts and Entertainment","Industry","third party and supply chain exposure","Exposure"
"Accommodation, Food Services, Arts and Entertainment","Industry","building iot and physical operations technology","Exposure"
"Accommodation, Food Services, Arts and Entertainment","Industry","corporate financial and employee systems","Exposure"
"Agriculture, Forestry, Fishing and Food Production","Industry","production and operational technology systems","Exposure"
"Agriculture, Forestry, Fishing and Food Production","Industry","enterprise it erp and ordering logistics platforms","Exposure"
"Agriculture, Forestry, Fishing and Food Production","Industry","sensitive data assets","Exposure"
"Agriculture, Forestry, Fishing and Food Production","Industry","third party and supply chain dependencies","Exposure"
"Agriculture, Forestry, Fishing and Food Production","Industry","physical goods livestock and continuity assets","Exposure"
"Construction","Industry","project and design data","Exposure"
"Construction","Industry","bid contract and financial data","Exposure"
"Construction","Industry","employee and workforce pii","Exposure"
"Construction","Industry","field and jobsite systems","Exposure"
"Construction","Industry","building management and facilities systems","Exposure"
"Construction","Industry","third party and subcontractor networks","Exposure"
"Construction","Industry","client and government owner data","Exposure"
"Educational Services","Industry","student information systems sis and core records","Exposure"
"Educational Services","Industry","learning management systems gradebooks and instructional platforms","Exposure"
"Educational Services","Industry","financial aid bursar payroll and payment systems","Exposure"
"Educational Services","Industry","research data intellectual property and regulated research health data","Exposure"
"Educational Services","Industry","minors pii and sensitive student welfare records","Exposure"
"Educational Services","Industry","campus operational technology and physical safety systems","Exposure"
"Educational Services","Industry","alumni donor and advancement databases","Exposure"
"Educational Services","Industry","third party edtech cloud and identity infrastructure","Exposure"
"Energy and Utilities","Industry","operational technology and control systems","Exposure"
"Energy and Utilities","Industry","enterprise it and business critical applications","Exposure"
"Energy and Utilities","Industry","customer facing and retail systems","Exposure"
"Energy and Utilities","Industry","sensitive data assets","Exposure"
"Energy and Utilities","Industry","third parties and interconnections","Exposure"
"Finance and Insurance","Industry","core banking and payment systems","Exposure"
"Finance and Insurance","Industry","customer and counterparty data pii pfi","Exposure"
"Finance and Insurance","Industry","third party vendor and fintech partner ecosystem","Exposure"
"Finance and Insurance","Industry","market infrastructure and institutional systems","Exposure"
"Finance and Insurance","Industry","digital and remote access channels","Exposure"
"Finance and Insurance","Industry","corporate legal and governance records","Exposure"
"Healthcare and Social Assistance","Industry","electronic health record ehr and clinical documentation systems","Exposure"
"Healthcare and Social Assistance","Industry","medical imaging lab and diagnostic systems","Exposure"
"Healthcare and Social Assistance","Industry","claims billing and revenue cycle infrastructure","Exposure"
"Healthcare and Social Assistance","Industry","telehealth and remote care platforms","Exposure"
"Healthcare and Social Assistance","Industry","protected health information phi and personal data","Exposure"
"Healthcare and Social Assistance","Industry","third party and vendor ecosystem","Exposure"
"Healthcare and Social Assistance","Industry","physical operational continuity systems","Exposure"
"Information Technology","Industry","software development and source code assets","Exposure"
"Information Technology","Industry","customer facing saas cloud platforms","Exposure"
"Information Technology","Industry","managed services and remote management infrastructure","Exposure"
"Information Technology","Industry","corporate it identity and edge systems","Exposure"
"Information Technology","Industry","customer employee and third party data","Exposure"
"Information Technology","Industry","distribution logistics and commerce systems","Exposure"
"Information Technology","Industry","downstream ecosystem and supply chain relationships","Exposure"
"Information Technology","Industry","intellectual property and trade secrets","Exposure"
"Manufacturing","Industry","operational technology industrial control systems ot ics scada","Exposure"
"Manufacturing","Industry","production and manufacturing execution systems","Exposure"
"Manufacturing","Industry","intellectual property and trade secrets","Exposure"
"Manufacturing","Industry","supply chain and third party vendor networks","Exposure"
"Manufacturing","Industry","enterprise it and corporate data","Exposure"
"Manufacturing","Industry","physical plant and multi site infrastructure","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","client and case data","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","crm sales and saas platforms","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","erp back office and bpo processing systems","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","real estate specific systems and data","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","wholesale trade and logistics systems","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","employee contractor and third party data","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","cloud msp infrastructure and credentials","Exposure"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","intellectual property and trade secrets","Exposure"
"Public Administration (Government)","Industry","citizen and employee data assets","Exposure"
"Public Administration (Government)","Industry","core it and enterprise systems","Exposure"
"Public Administration (Government)","Industry","citizen facing service platforms","Exposure"
"Public Administration (Government)","Industry","public safety and emergency systems","Exposure"
"Public Administration (Government)","Industry","operational technology and municipal infrastructure","Exposure"
"Public Administration (Government)","Industry","third party and shared service dependencies","Exposure"
"Retail Trade and Consumer Services","Industry","point of sale pos and payment systems","Exposure"
"Retail Trade and Consumer Services","Industry","customer data and crm loyalty platforms","Exposure"
"Retail Trade and Consumer Services","Industry","supply chain inventory and store operations systems","Exposure"
"Retail Trade and Consumer Services","Industry","third party franchise and vendor dealer networks","Exposure"
"Retail Trade and Consumer Services","Industry","employee and hr data","Exposure"
"Retail Trade and Consumer Services","Industry","physical and building adjacent operational technology","Exposure"
"Retail Trade and Consumer Services","Industry","brand product and intellectual property data","Exposure"
"Telecommunications","Industry","core network and signaling systems","Exposure"
"Telecommunications","Industry","subscriber and customer pii","Exposure"
"Telecommunications","Industry","enterprise backend it and saas platforms","Exposure"
"Telecommunications","Industry","physical and field infrastructure","Exposure"
"Telecommunications","Industry","third party partner and downstream data","Exposure"
"Telecommunications","Industry","regulatory lawful intercept and critical infrastructure systems","Exposure"
"Transportation and Warehousing","Industry","fleet freight and operational technology systems","Exposure"
"Transportation and Warehousing","Industry","customer shipment and financial data","Exposure"
"Transportation and Warehousing","Industry","third party and supply chain dependencies","Exposure"
"Transportation and Warehousing","Industry","physical and critical infrastructure assets","Exposure"
