from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment","Industry","initial access vectors","Hazard"
"Accommodation, Food Services, Arts and Entertainment","Industry","extortion tactics","Hazard"
"Accommodation, Food Services, Arts and Entertainment","Industry","operational technology ot and physical safety adjacent risk","Hazard"
"Accommodation, Food Services, Arts and Entertainment","Industry","third party and supply chain risk","Hazard"
"Accommodation, Food Services, Arts and Entertainment","Industry","insider and workforce risk","Hazard"
"Accommodation, Food Services, Arts and Entertainment","Industry","regulatory contractual and reputational exposure","Hazard"
"Agriculture, Forestry, Fishing and Food Production","Industry","initial access vectors","Hazard"
"Agriculture, Forestry, Fishing and Food Production","Industry","extortion and impact tactics","Hazard"
"Agriculture, Forestry, Fishing and Food Production","Industry","ot ics and physical process risk","Hazard"
"Agriculture, Forestry, Fishing and Food Production","Industry","supply chain and third party concentration risk","Hazard"
"Agriculture, Forestry, Fishing and Food Production","Industry","regulatory legal and food security exposure","Hazard"
"Agriculture, Forestry, Fishing and Food Production","Industry","insider workforce and operational maturity risk","Hazard"
"Construction","Industry","initial access vectors","Hazard"
"Construction","Industry","extortion tactics","Hazard"
"Construction","Industry","ot iot and jobsite facilities technology risk","Hazard"
"Construction","Industry","third party and supply chain risk","Hazard"
"Construction","Industry","insider and workforce risk","Hazard"
"Construction","Industry","regulatory and legal exposure","Hazard"
"Construction","Industry","business interruption project delay risk","Hazard"
"Educational Services","Industry","initial access via open and federated campus environments","Hazard"
"Educational Services","Industry","extortion leverage from minors and student data","Hazard"
"Educational Services","Industry","third party and edtech vendor concentration risk","Hazard"
"Educational Services","Industry","insider and student originated threat","Hazard"
"Educational Services","Industry","regulatory notification and litigation exposure","Hazard"
"Educational Services","Industry","operational disruption of instruction and institutional continuity","Hazard"
"Educational Services","Industry","underfunded security posture and recovery capability","Hazard"
"Energy and Utilities","Industry","initial access vectors","Hazard"
"Energy and Utilities","Industry","extortion tactics","Hazard"
"Energy and Utilities","Industry","ot vs it risk cyber physical","Hazard"
"Energy and Utilities","Industry","third party and supply chain risk","Hazard"
"Energy and Utilities","Industry","insider and workforce risk","Hazard"
"Energy and Utilities","Industry","regulatory legal and reputational exposure","Hazard"
"Finance and Insurance","Industry","initial access vectors","Hazard"
"Finance and Insurance","Industry","extortion tactics","Hazard"
"Finance and Insurance","Industry","systemic and market contagion risk","Hazard"
"Finance and Insurance","Industry","third party and supply chain risk","Hazard"
"Finance and Insurance","Industry","regulatory and legal exposure","Hazard"
