id,name,kind
"identity based initial access as the dominant entry route compromised credentials infostealer harvested session tokens u","Identity-based initial access as the dominant entry route: compromised credentials, infostealer-harvested session tokens, unenforced or bypassable MFA, and exposed VPN/RDP and edge appliances appear as the leading access vector in every one of the fourteen industries.","hazard"
"edge device and internet facing vulnerability exploitation unpatched vpn concentrators firewalls file transfer appliance","Edge-device and internet-facing vulnerability exploitation: unpatched VPN concentrators, firewalls, file-transfer appliances and remote-management tooling recur across all sectors, with exploitation windows now measured in days after disclosure.","hazard"
"multi extortion as the default model encryption plus exfiltration plus leak site publication increasingly extended with ","Multi-extortion as the default model: encryption plus exfiltration plus leak-site publication, increasingly extended with direct customer/patient/student notification, regulator tip-offs, harassment of executives, and DDoS pressure.","hazard"
"exfiltration only and encryption less extortion growth a rising share of incidents involve no encryption at all defeatin","Exfiltration-only and encryption-less extortion growth: a rising share of incidents involve no encryption at all, defeating backup-based recovery strategies and shifting loss from restoration cost to liability and notification cost.","hazard"
"ransomware as a service commoditization and affiliate churn a small set of high volume brands qilin akira inc ransom pla","Ransomware-as-a-service commoditization and affiliate churn: a small set of high-volume brands (Qilin, Akira, INC Ransom, Play, Medusa, SafePay, DragonForce, Lynx, RansomHub successors) dominate postings across every sector, with affiliates migrating between brands after takedowns so that law-enforcement disruption suppresses names, not volume.","hazard"
"third party vendor and msp compromise as an access and aggregation path intrusion at a shared service provider yields ma","Third-party, vendor and MSP compromise as an access and aggregation path: intrusion at a shared service provider yields many victims from one operation, appearing in every industry's incident record.","hazard"
"backup and recovery infrastructure targeting deliberate destruction of backups snapshots hypervisor volumes and active d","Backup and recovery-infrastructure targeting: deliberate destruction of backups, snapshots, hypervisor volumes and Active Directory before detonation, converting a recoverable event into a payment-pressure event.","hazard"
"human factor and social engineering risk phishing business email compromise help desk and mfa reset impersonation and vo","Human-factor and social-engineering risk: phishing, business-email compromise, help-desk and MFA-reset impersonation, and voice-based social engineering of IT support recur across all sectors regardless of technical maturity.","hazard"
"insider and privileged access risk both malicious and negligent including contractor and offshore support access that ex","Insider and privileged-access risk, both malicious and negligent, including contractor and offshore-support access that expands the effective trust boundary.","hazard"
"regulatory and notification exposure attaching to nearly every incident with mandatory disclosure timelines compressing ","Regulatory and notification exposure attaching to nearly every incident, with mandatory disclosure timelines compressing incident-response decision-making and creating loss independent of ransom.","hazard"
"legacy and end of life technology debt unsupported operating systems unpatchable embedded and control system devices and","Legacy and end-of-life technology debt: unsupported operating systems, unpatchable embedded and control-system devices, and long refresh cycles that make compensating controls the only viable mitigation.","hazard"
"business interruption and contingent business interruption as the primary severity driver frequently exceeding the ranso","Business interruption and contingent business interruption as the primary severity driver, frequently exceeding the ransom demand itself by an order of magnitude.","hazard"
"litigation and class action follow on consumer employee and shareholder claims now routinely follow any incident involvi","Litigation and class-action follow-on: consumer, employee and shareholder claims now routinely follow any incident involving personal-data exfiltration.","hazard"
"core enterprise it and business critical applications erp finance email collaboration file shares whose loss halts reven","Core enterprise IT and business-critical applications (ERP, finance, email, collaboration, file shares) whose loss halts revenue-generating and administrative operations in every sector.","exposure"
"identity and access infrastructure active directory single sign on privileged access management and cloud identity tenan","Identity and access infrastructure: Active Directory, single sign-on, privileged access management and cloud identity tenants, which function as the universal blast-radius multiplier across all fourteen industries.","exposure"
"personal data holdings creating notification and liability exposure customer patient student citizen employee and counte","Personal data holdings creating notification and liability exposure: customer, patient, student, citizen, employee and counterparty PII, plus special categories (PHI, financial account data, biometric and minor data) that raise per-record cost.","exposure"
"third party vendor msp and supply chain interconnections including the credentials vpn tunnels and api integrations that","Third-party, vendor, MSP and supply-chain interconnections, including the credentials, VPN tunnels and API integrations that link organizations to partners and downstream customers.","exposure"
"backup disaster recovery and virtualization infrastructure whose integrity determines whether an incident is a restorati","Backup, disaster-recovery and virtualization infrastructure, whose integrity determines whether an incident is a restoration exercise or a forced negotiation.","exposure"
"remote access and edge infrastructure vpn gateways firewalls rdp remote monitoring and management tools and managed file","Remote access and edge infrastructure: VPN gateways, firewalls, RDP, remote monitoring and management tools, and managed file-transfer platforms.","exposure"
"cloud and saas platform dependencies where concentration in a small number of providers creates correlated exposure not ","Cloud and SaaS platform dependencies, where concentration in a small number of providers creates correlated exposure not visible on the insured's own network.","exposure"
"operational production and service delivery technology ot ics scada medical devices pos terminals fleet and dispatch sys","Operational, production and service-delivery technology: OT/ICS/SCADA, medical devices, POS terminals, fleet and dispatch systems, building management and IoT, which convert cyber events into physical and safety consequence.","exposure"
"employee and hr data including payroll benefits and background check records exposed in nearly every incident and a reli","Employee and HR data, including payroll, benefits and background-check records, exposed in nearly every incident and a reliable driver of employee class actions.","exposure"
"intellectual property trade secrets source code designs bid and pricing data and privileged client material where the lo","Intellectual property, trade secrets, source code, designs, bid and pricing data, and privileged client material, where the loss is competitive and contractual rather than regulatory.","exposure"
"physical and multi site infrastructure where distributed locations and inconsistent local security maturity widen the at","Physical and multi-site infrastructure, where distributed locations and inconsistent local security maturity widen the attack surface and complicate uniform control deployment.","exposure"
"brand reputation and customer trust assets realized through churn contract loss procurement disqualification and public ","Brand, reputation and customer-trust assets, realized through churn, contract loss, procurement disqualification and public-sector political consequence.","exposure"
