id,name,description
"guest facing reservation and property systems","Guest-facing reservation and property systems","Core operational software that, if encrypted or disrupted, halts check-in/out, room assignment, and bookings, causing immediate revenue and reputational loss."
"payment and point of sale pos infrastructure","Payment and point-of-sale (POS) infrastructure","High-volume, PCI-DSS-regulated transaction systems across hotels, restaurants, casinos, and venues that are prime ransomware/extortion targets due to payment card data and operational criticality."
"guest and member personal data pii","Guest and member personal data (PII)","Large repositories of sensitive personal and financial data accumulated through loyalty programs, bookings, and identity verification, making this sector attractive for double-extortion data leaks."
"casino and gaming specific systems","Casino- and gaming-specific systems","Specialized OT/IT-blended systems unique to the gaming vertical within this sector, where downtime directly halts revenue-generating floor operations."
"third party and supply chain exposure","Third-party and supply-chain exposure","Extensive outsourcing and franchise/partner relationships common to hospitality, food service, and entertainment create indirect exposure when a vendor, franchisee, or partner is compromised."
"building iot and physical operations technology","Building, IoT, and physical-operations technology","Smart-building and physical-plant systems increasingly networked to corporate IT, creating an OT-adjacent attack surface distinct to physically large hospitality/entertainment venues."
"corporate financial and employee systems","Corporate, financial, and employee systems","Back-office systems common to any large multi-site employer, holding data attractive for extortion beyond guest-facing systems."
"production and operational technology systems","Production & Operational Technology Systems","The plant-floor and field systems whose disruption stops physical output and threatens food safety and animal welfare."
"enterprise it erp and ordering logistics platforms","Enterprise IT, ERP & Ordering/Logistics Platforms","The business systems that, when encrypted, halt ordering, invoicing, dispatch and payment even when the physical plant is intact."
"sensitive data assets","Sensitive Data Assets","Data types whose theft drives extortion, regulatory penalties, and national-security concern."
"third party and supply chain dependencies","Third-Party & Supply-Chain Dependencies","Transportation/warehousing firms rely heavily on shared vendor platforms and interconnected partner networks, concentrating risk in a small number of upstream providers."
"physical goods livestock and continuity assets","Physical Goods, Livestock & Continuity Assets","Sector-unique tangible exposures that convert cyber downtime into direct physical loss."
"project and design data","Project and Design Data","The core intellectual property of a construction or engineering firm, of high value both for extortion leverage and to competitors."
"bid contract and financial data","Bid, Contract and Financial Data","Commercially sensitive project economics and the financial systems that manage them - a favored ransomware and extortion target."
"employee and workforce pii","Employee and Workforce PII","Personal data held on large, often multi-employer workforces."
"field and jobsite systems","Field and Jobsite Systems","Technology deployed at or connecting to active construction sites, often with weaker security posture than corporate headquarters."
"building management and facilities systems","Building Management and Facilities Systems","Operational technology exposure that persists beyond project completion, for firms with ongoing facilities-management, warranty or operations contracts."
"third party and subcontractor networks","Third-Party and Subcontractor Networks","External parties and shared infrastructure that extend a construction firm's attack surface beyond its own perimeter."
"client and government owner data","Client and Government-Owner Data","Sensitive project data held on behalf of government and critical-infrastructure clients, elevating national-security and export-control considerations for some firms."
"student information systems sis and core records","Student Information Systems (SIS) and Core Records","The system of record for enrolment, demographics, attendance, discipline and transcripts, and the highest-value single target in education because it concentrates minors' PII for an entire district or institution in one platform. SIS compromise is both a direct exposure at the institution and, via the vendor, the sector's principal aggregation event - the PowerSchool intrusion reached a claimed 62.4 million students and 9.5 million teachers across approximately 6,505 districts."
"learning management systems gradebooks and instructional platforms","Learning Management Systems, Gradebooks and Instructional Platforms","The day-to-day instructional layer - LMS, gradebook, courseware, assessment and proctoring tools. Outage halts teaching directly, and the platforms hold years of coursework, private messaging and behavioural data. The May 2026 Instructure/Canvas incident demonstrated the scale: attackers claimed 3.6TB covering 275 million users across roughly 9,000 institutions, including private student-teacher messages, in a platform used by 41% of US higher education institutions."
"financial aid bursar payroll and payment systems","Financial Aid, Bursar, Payroll and Payment Systems","Education institutions process tuition, financial aid, donations, payroll and vendor payments, and financial-aid files in particular concentrate exactly the identity elements needed for fraud - SSNs, bank details and full household income data (FAFSA). Encryption here halts payroll and disbursement; exfiltration produces the sector's highest per-record identity-theft severity."
"research data intellectual property and regulated research health data","Research Data, Intellectual Property and Regulated Research Health Data","The exposure unique to higher education. Universities hold pre-publication research, proprietary and licensed datasets, export-controlled work and long-running human-subjects cohorts. The University of Manchester attack reached NHS records for 1.1 million patients gathered from over 200 hospitals for medical research, and the University of Hawai'i Cancer Center incident exposed decades-old epidemiological cohort data affecting up to 1.15 million individuals - demonstrating that research archives create liability for populations who were never students or staff."
"minors pii and sensitive student welfare records","Minors' PII and Sensitive Student Welfare Records","The sector's most reputationally and legally explosive exposure. Beyond routine PII, schools hold counselling notes, psychological evaluations, abuse and safeguarding reports, and custody arrangements for children who cannot consent and whose identities remain exploitable for decades. Both LAUSD and Minneapolis saw student psychological assessments published after refusing to pay, and Baltimore City Public Schools' 2025 incident exposed SSNs and driver's licence data for thousands of students and staff."
"campus operational technology and physical safety systems","Campus Operational Technology and Physical Safety Systems","Schools and campuses run building and safety infrastructure on the same networks as administrative IT, so ransomware translates directly into physical-safety consequences and closure decisions. The Minneapolis breach was confirmed by analysts to have exposed school security blueprints - a worst-case outcome in which stolen data creates ongoing physical risk to children that no notification or credit monitoring can remediate."
"alumni donor and advancement databases","Alumni, Donor and Advancement Databases","University advancement systems hold high-net-worth individuals' financial profiles, giving histories, wealth-screening assessments and private correspondence. This data is disproportionately valuable relative to its volume, and its exposure damages the institution's fundraising capacity - a material revenue line for higher education - well beyond the incident itself. The University of Manchester breach included alumni records alongside current student data."
"third party edtech cloud and identity infrastructure","Third-Party Edtech, Cloud and Identity Infrastructure","Modern institutions outsource most of their data estate, so a large share of exposure sits outside the insured's own perimeter and outside its control. This is the exposure that converts individual education risks into portfolio-level correlated loss, and Verizon's 2026 DBIR reported third parties featuring in 48% of breaches with supply-chain breaches up 60% year over year."
"operational technology and control systems","Operational Technology & Control Systems","The physical-process control estate unique to energy/utilities — the crown-jewel exposure whose compromise or precautionary shutdown halts energy delivery."
"enterprise it and business critical applications","Enterprise IT & Business-Critical Applications","Corporate systems that, when encrypted, stop planning, dispatch, trading, and revenue — the layer most ransomware actually hits."
"customer facing and retail systems","Customer-Facing & Retail Systems","Public-facing and downstream retail exposure, particularly acute for utilities and fuel-retail operators."
"third parties and interconnections","Third Parties & Interconnections","External entities and links whose compromise transmits risk into or out of the operator."
"core banking and payment systems","Core Banking and Payment Systems","The transactional backbone of financial institutions - direct targets or collateral damage in ransomware incidents that can halt money movement itself."
"customer and counterparty data pii pfi","Customer and Counterparty Data (PII/PFI)","The high-value, highly regulated personal and financial data that makes this sector an attractive double-extortion target."
"third party vendor and fintech partner ecosystem","Third-Party, Vendor, and Fintech-Partner Ecosystem","Financial institutions increasingly outsource operational functions and partner with fintechs, creating shared/concentrated exposure where a single vendor breach cascades across multiple unrelated institutions and their end customers."
"market infrastructure and institutional systems","Market Infrastructure and Institutional Systems","Systems whose disruption has effects beyond the victim institution, spilling into broader market functioning - a distinguishing feature of ransomware exposure in this sector versus most others."
"digital and remote access channels","Digital and Remote-Access Channels","Customer- and employee-facing digital surfaces that both enable ransomware entry and represent business-continuity exposure if taken offline."
"corporate legal and governance records","Corporate, Legal, and Governance Records","Non-customer data whose exposure drives regulatory, legal, and reputational consequences distinct from direct financial fraud."
"electronic health record ehr and clinical documentation systems","Electronic Health Record (EHR) and Clinical Documentation Systems","Core systems storing and managing patient charts, orders, and treatment history; encryption or unavailability directly halts clinical operations."
"medical imaging lab and diagnostic systems","Medical Imaging, Lab, and Diagnostic Systems","Specialized clinical systems and connected devices whose disruption halts diagnosis and treatment pathways."
"claims billing and revenue cycle infrastructure","Claims, Billing, and Revenue-Cycle Infrastructure","Financial and administrative processing systems, often centralized in a small number of national clearinghouses, that create systemic single points of failure."
"telehealth and remote care platforms","Telehealth and Remote-Care Platforms","Patient-facing digital care delivery channels that expand the network's external attack surface."
"protected health information phi and personal data","Protected Health Information (PHI) and Personal Data","The core data asset that makes healthcare an attractive double-extortion target, spanning highly sensitive clinical and identity data."
"third party and vendor ecosystem","Third-Party and Vendor Ecosystem","The dense web of business associates and downstream partners that extend a healthcare organization's effective risk surface far beyond its own network."
"physical operational continuity systems","Physical/Operational Continuity Systems","Facility and logistics systems whose disruption has direct patient-safety consequences distinct from pure data risk."
"software development and source code assets","Software Development and Source-Code Assets","The crown-jewel assets unique to technology firms; their exposure enables both direct IP loss and downstream supply-chain compromise."
"customer facing saas cloud platforms","Customer-Facing SaaS / Cloud Platforms","The revenue-generating production systems whose downtime directly halts thousands of customers."
"managed services and remote management infrastructure","Managed-Services and Remote-Management Infrastructure","Tooling that grants privileged reach into customer estates, making it a high-value pivot for cascade attacks."
