victim,sector,group,country,attackdate,discovered,domain,data_size,has_press,ransom
"Fairlife / Coca-Cola","Agriculture and Food Production","anubis","US","2026-07-20","2026-07-20","","","",""
"Famesa","Agriculture and Food Production","qilin","PE","2026-07-19","2026-07-19","www.famesa.com.pe","","",""
"Heartland Catfish","Agriculture and Food Production","qilin","US","2026-07-18","2026-07-18","www.heartlandcatfish.com","","",""
"V&P Nurseries","Agriculture and Food Production","incransom","US","2026-07-18","2026-07-18","","","",""
"vedan corp","Agriculture and Food Production","incransom","VN","2026-07-18","2026-07-18","","","",""
"Armara","Agriculture and Food Production","qilin","FR","2026-07-18","2026-07-18","www.armara.fr","","",""
"Cafar","Agriculture and Food Production","qilin","AR","2026-07-17","2026-07-17","www.cafar.org.ar","","",""
"Vignobles Toutigeac","Agriculture and Food Production","thegentlemen","FR","2026-07-16","2026-07-16","toutigeac.com","","",""
"Terra Vitis","Agriculture and Food Production","thegentlemen","FR","2026-07-16","2026-07-16","terravitis.com","","",""
"International Delights","Agriculture and Food Production","qilin","US","2026-07-15","2026-07-15","intdelights.com","","",""
"Cemoi","Agriculture and Food Production","qilin","FR","2026-07-13","2026-07-13","www.cemoi.fr","","",""
"Carolina Agri-Power","Agriculture and Food Production","qilin","US","2026-07-11","2026-07-11","www.carolinaap.com","","",""
"Promotora Zacapu","Agriculture and Food Production","qilin","MX","2026-07-10","2026-07-10","www.promotorazacapu.com","","",""
"LA SEVILLANITA SRL","Agriculture and Food Production","Deadlock","AR","2026-07-10","2026-07-10","www.lasevillanita-online.com","","",""
"Eko-Flor Plus d.o.o.","Agriculture and Food Production","Deadlock","HR","2026-07-10","2026-07-10","eko-flor.hr","","",""
"ADM Value Barcelona","Agriculture and Food Production","Deadlock","ES","2026-07-10","2026-07-10","admvalue.com","","",""
"Vicenzi Group","Agriculture and Food Production","thegentlemen","IT","2026-07-10","2026-07-11","vicenzi.it","","",""
"Wade's Dairy","Agriculture and Food Production","akira","GB","2026-07-08","2026-07-08","wadesdairy.com","","",""
"Royal Foods","Agriculture and Food Production","thegentlemen","AU","2026-07-06","2026-07-11","royalfoods.com.au","","",""
"Tonnies Group","Agriculture and Food Production","thegentlemen","DE","2026-07-06","2026-07-07","toennies.de","","",""
"Apex Agro, LLC","Agriculture and Food Production","genesis","US","2026-07-03","2026-07-05","apexagchem.com","","",""
"Tofutown","Agriculture and Food Production","payload","DE","2026-07-02","2026-07-02","","","",""
"blaofood.com","Agriculture and Food Production","krybit","","2026-07-01","2026-07-01","blaofood.com","","",""
"universalplant.com","Agriculture and Food Production","chaos","US","2026-06-30","2026-06-30","universalplant.com","","",""
