id,victim,date,country,financial_impact,ransom,downtime,data_impact,summary,source_count
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","MGM Resorts International","September 2023 (breach began Sept 9, disclosed Sept 11, 2023)","United States","MGM disclosed an estimated ~$100 million negative impact to Adjusted Property EBITDAR for Las Vegas Strip and Regional Operations, plus under $10 million in one-time remediation/legal/incident-response costs; company said it expected to be largely covered by cyber insurance. A related shareholder/consumer class-action settlement was reached in 2025.","MGM has stated it did not pay a ransom (unlike sister-incident Caesars); no confirmed dollar figure for a demand specific to MGM has been publicly disclosed.","Core systems (slot machines, digital key cards, reservations, payment processing) were down for approximately 10 days before full restoration.","Personal information (names, contact details, driver's license/SSN/passport numbers for some) of roughly 37 million MGM Rewards members was compromised.","Scattered Spider used a vishing/social-engineering attack against MGM's IT help desk to obtain credentials, then deployed ALPHV/BlackCat ransomware, forcing MGM to shut down casino floor systems, digital hotel room keys, slot machines, ATMs, restaurant/payment systems and websites across 30+ properties for roughly 10 days.","4"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Caesars Entertainment","August 2023 (breach began Aug 18, disclosed mid-September 2023)","United States","Caesars disclosed the incident in an SEC 8-K; ongoing consumer class-action litigation (Caesars Entertainment Data Breach Litigation). Specific total incident cost beyond the ransom payment not publicly broken out.","Attackers initially demanded $30 million; Caesars paid approximately $15 million in cryptocurrency. The FBI later tracked and froze a portion of the payment as it moved through crypto exchanges.","Caesars stated its hotel, casino and online operations were not significantly disrupted (unlike MGM); recovery was largely on the data-breach/notification track rather than an operational-outage track.","Loyalty program database of more than 65 million Caesars Rewards members exposed, including driver's license and Social Security numbers for a subset of members.","Attackers compromised a third-party IT support vendor via social engineering to breach Caesars' network and exfiltrate the ~6TB Caesars Rewards loyalty database before Caesars negotiated and paid a ransom; the attack occurred just before, and is closely associated with, the MGM incident by the same threat-actor ecosystem.","5"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Carnival Corporation & plc","April 2026 (initial access April 14; discovered/blocked April 22; disclosed publicly ~mid-May 2026)","United States","Not publicly disclosed as a specific dollar figure by Carnival; the company began offering two years of complimentary TransUnion credit monitoring to affected US residents, an ongoing cost. Litigation/regulatory exposure likely given the scale of records.","Not publicly disclosed; ShinyHunters is an extortion-focused (data-theft, not necessarily encryption) group and threatened to publish/sell the data if terms were not met.","No major operational/cruise-booking outage reported; this was primarily a data-theft/social-engineering incident rather than an encryption/downtime event.","Data breach notice filed in Maine listed 5,995,277 affected individuals; ShinyHunters claimed 8.7 million records stolen. Exposed data included names, addresses, emails, phone numbers, dates of birth, and government ID numbers (driver's license, passport).","ShinyHunters used social engineering to trick a Carnival employee into granting IT system access, then used the compromised account to copy personal data from a limited portion of Carnival's systems before being blocked; the gang later claimed 8.7 million stolen records and published data on its leak site.","4"
"Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Compass Group Australia (Sydney-based catering/support services group)","September 2024 (first attack disclosed Sept 4; second Medusa-affiliate attack later in September, data posted Sept 18, 2024)","Australia","Not publicly disclosed by Compass Group; company activated its incident response plan and notified employees, clients, suppliers and regulators.","First attack: Medusa demanded US$2 million to delete/not publish the ~785.5GB of stolen data (with a US$100,000/day deadline-extension fee). Second (separate) attack: ransom demanded was US$100,000. Not publicly confirmed whether any payment was made.","Specific downtime duration not publicly detailed in press coverage; company stated it secured systems and launched an investigation with external cybersecurity specialists.","Near 1TB combined across both incidents; data included employee wage declarations and scanned passports/driver's licenses of contractors and staff, with the threat actor threatening publication on its dark-web leak site.","Medusa ransomware affiliates breached Compass Group's Australian IT network twice within the same month, exfiltrating close to 1TB of data combined, including employee wage records and scanned passports/driver's licenses of contractors, then threatened publication on Medusa's leak site.","3"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Panera Bread","March 2024 (outage began March 22, resolved around March 26, 2024)","United States","Not publicly disclosed by Panera; the company did not release financial figures. Independent security analysts estimated such multi-day enterprise ransomware disruptions typically cost tens of millions of dollars in lost sales and recovery, but no Panera-specific figure has been confirmed.","Not publicly disclosed; no group claimed responsibility and Panera did not comment on any ransom demand or payment.","Approximately one week (March 22-26, 2024) of major IT outage across point-of-sale, online ordering, loyalty and phone systems before restoration.","A subsequent notice confirmed an employee data breach tied to the March incident (SSNs and other employee personal data); customer payment-data exposure was not confirmed.","A ransomware attack encrypted numerous Panera Bread virtual machines, taking down point-of-sale systems, online/mobile ordering, the loyalty (MyPanera) program, and internal phone systems across the chain's roughly 2,160 cafés; stores stayed open but had to fall back to cash-only transactions during the outage.","3"
"Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Nordic Choice Hotels","December 2021 (attack began Dec 2, disclosed Dec 6-8, 2021)","Norway/Scandinavia (200 properties across Scandinavia, Finland, and the Baltics)","Not publicly disclosed as a specific dollar figure.","Nordic Choice stated it deliberately did not contact Conti and had not received (or did not intend to pay) a ransom demand; no payment reported.","Replacement/workaround solutions were in place at most hotels within days of the attack (over the following weekend), with normal operations restored within about a week.","Guest booking data and Nordic Choice Club (loyalty) member data were confirmed potentially exposed; no indication passwords or payment card data were affected.","Conti ransomware hit Nordic Choice Hotels' central IT systems, disabling reservation, check-in/check-out, room key-card and payment systems across its ~200-property, 16,000-employee hotel network; staff fell back to manual processes while replacement systems were rolled out property-by-property.","3"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Rivers Casino Des Plaines / Rush Street Gaming","August 2023 (breach occurred ~Aug 12, 2023; discovered/disclosed November 2023)","United States","Not publicly disclosed; the casino faced a class-action lawsuit over the data breach.","For the 2025 Rivers Casino Philadelphia/Rush Street Gaming Cicada3301 claim, an undisclosed ransom was demanded with a stated deadline (Feb 15, 2025); no payment publicly confirmed. No ransom figure disclosed for the 2023 Illinois breach.","No major operational outage publicly reported; this was primarily a data-theft/notification incident rather than an encryption/downtime event.","Names, birth dates, contact info, driver's license/government ID numbers, Social Security numbers, bank account and tax ID information, and passport numbers for a subset of customers and employees (at least 8,151 individuals per Comparitech); the 2025 Cicada3301 claim alleged 2.56TB of data stolen from Rush Street Gaming.","Hackers accessed files containing personal data of customers and employees at Rivers Casino (Illinois); the breach was discovered months after the intrusion, leading to consumer notification, class-action litigation, and a separate 2025 Cicada3301 extortion claim against the related Rivers Casino Philadelphia/Rush Street Gaming entity.","4"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Disneyland Paris","June 2025 (claimed on leak site June 20, 2025; group teased on social media June 12)","France","Not publicly disclosed; Disneyland Paris had not acknowledged the breach in public statements found.","Not publicly disclosed/unclear whether a ransom was demanded of Disneyland Paris directly versus its partner firm.","No park operational disruption reported; this was a third-party/supply-chain data-exposure incident rather than an IT outage at the park itself.","Approximately 64GB / ~39,000 files of construction and renovation-related documents and media allegedly exposed via a Disneyland partner company, not confirmed to include guest personal data.","Anubis ransomware claimed the largest data leak in Disneyland Paris's history, alleging the data (obtained via breach of a construction/renovation partner company rather than Disneyland directly) included ~39,000 files of park construction and renovation plans, exposing images/videos of attraction designs (Crush's Coaster, Frozen, Ratatouille, Buzz Lightyear, Phantom Manor, etc.). Disneyland Paris had not publicly confirmed the claims as of the reporting.","4"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","JBS S.A. / JBS USA","2021-05-30","Brazil / United States / Canada / Australia","Direct operational disruption to global meat supply; JBS did not publicly quantify total losses beyond the ransom. Widely cited as one of the most consequential critical-infrastructure attacks of 2021.","REvil initially demanded $22.5 million; JBS negotiated and paid $11 million in Bitcoin.","Multiple North American and Australian plants shut for roughly a day-plus; JBS said the majority of facilities were operational again within days, choosing to pay to avoid prolonged disruption and possible data exfiltration.","JBS said it paid partly to ensure no data was exfiltrated; no large-scale data leak was confirmed at the time.","The world's largest meat processor was hit by REvil, forcing shutdown of beef and pork slaughterhouses across the US, Canada and Australia and disrupting roughly a fifth of US meat capacity. Internal DHS records later characterized JBS's pre-attack cybersecurity as unusually poor. Ransomware.live also tracks a later 2026 'coinbasecartel' posting recycling ~3TB of JBS data, illustrating re-extortion.","4"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","United Natural Foods, Inc. (UNFI)","2025-06-05","United States","Estimated $350–$400 million reduction in fiscal-2025 net sales; net income impact of $50–$60 million and adjusted EBITDA impact of ~$40–$50 million. Included ~$20 million in manual-workaround costs and ~$5 million in remediation. Company said it expects insurance proceeds to be adequate to substantially offset losses.","Not publicly disclosed.","Systems taken offline in early June 2025; company ran manual workarounds and said the operational impact was mostly contained to the quarter, with phased restoration over subsequent weeks.","Not detailed publicly; impact framed primarily as operational/supply disruption.","North America's largest grocery distributor and primary supplier to Whole Foods was forced to take core systems offline after a June 2025 cyberattack, crippling electronic ordering and invoicing across its 53 distribution centers serving 30,000+ retail locations and emptying shelves nationwide. One of the largest quantified financial hits in the sector.","4"
