from,from_label,to,to_label
"initial access vectors","Hazard","initial access vectors::help desk call center social engineering and vishing to reset mfa or credentials scattered spider style attacks on mgm caesars","Subcategory"
"initial access vectors","Hazard","initial access vectors::phishing and callback phishing eg silent ransom group style tactics","Subcategory"
"initial access vectors","Hazard","initial access vectors::compromised or purchased credentials often sourced via infostealer malware from employee or third party devices","Subcategory"
"initial access vectors","Hazard","initial access vectors::exploitation of internet facing pms booking or pos software vulnerabilities","Subcategory"
"initial access vectors","Hazard","initial access vectors::compromise of third party it support managed service providers with privileged remote access","Subcategory"
"initial access vectors","Hazard","initial access vectors::compromise via franchise partner networks with shared or federated access to corporate systems","Subcategory"
"extortion tactics","Hazard","extortion tactics::encryption of operational systems pms pos reservations causing immediate highly visible service disruption","Subcategory"
"extortion tactics","Hazard","extortion tactics::data exfiltration and double triple extortion threatening publication of guest loyalty pii id scans financial data","Subcategory"
"extortion tactics","Hazard","extortion tactics::direct harassment of executives guests or loyalty program members with stolen data","Subcategory"
"extortion tactics","Hazard","extortion tactics::publication of sensitive operational or ip like materials eg unreleased attraction designs menus pricing as leverage distinct to entertainment theme park operators","Subcategory"
"extortion tactics","Hazard","extortion tactics::timing attacks to coincide with peak seasons holidays or major events to maximize revenue loss pressure and increase likelihood of ransom payment","Subcategory"
"extortion tactics","Hazard","extortion tactics::pure data theft extortion without encryption eg shinyhunters scattered spider linked groups increasingly skip encryption and threaten to leak only","Subcategory"
"operational technology ot and physical safety adjacent risk","Hazard","operational technology ot and physical safety adjacent risk::casino floor and gaming machine network disruption","Subcategory"
"operational technology ot and physical safety adjacent risk","Hazard","operational technology ot and physical safety adjacent risk::digital door lock and access control system failures stranding guests or preventing check in","Subcategory"
"operational technology ot and physical safety adjacent risk","Hazard","operational technology ot and physical safety adjacent risk::point of sale payment terminal outages forcing cash only operations","Subcategory"
"operational technology ot and physical safety adjacent risk","Hazard","operational technology ot and physical safety adjacent risk::ride attraction control and building management system exposure at theme parks and large venues","Subcategory"
"operational technology ot and physical safety adjacent risk","Hazard","operational technology ot and physical safety adjacent risk::kitchen ordering and inventory system outages disrupting food safety and service continuity","Subcategory"
"third party and supply chain risk","Hazard","third party and supply chain risk::managed service provider msp it help desk vendor compromise root cause of mgm and caesars incidents","Subcategory"
"third party and supply chain risk","Hazard","third party and supply chain risk::saas booking pms or supply chain platform compromise affecting many downstream hotel restaurant brands simultaneously mirrors blue yonder type incidents verizon dbir flagged for accommodation food services","Subcategory"
"third party and supply chain risk","Hazard","third party and supply chain risk::construction renovation or facilities contractor breaches exposing sensitive operational data disneyland paris partner breach","Subcategory"
"third party and supply chain risk","Hazard","third party and supply chain risk::franchise master licensor shared infrastructure compromise cascading to independently owned locations","Subcategory"
"third party and supply chain risk","Hazard","third party and supply chain risk::payment processor or gift card platform compromise","Subcategory"
