from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","MGM Resorts International","Company"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","Caesars Entertainment","Company"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident","Carnival Corporation & plc","Company"
"Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Incident","Compass Group Australia (Sydney-based catering/support services group)","Company"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident","Panera Bread","Company"
"Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Incident","Nordic Choice Hotels","Company"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident","Rivers Casino Des Plaines / Rush Street Gaming","Company"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident","Disneyland Paris","Company"
"Accommodation, Food Services, Arts and Entertainment::Inspired Entertainment, Inc.","Incident","Inspired Entertainment, Inc.","Company"
"Accommodation, Food Services, Arts and Entertainment::Yum! Brands, Inc.","Incident","Yum! Brands, Inc.","Company"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident","JBS S.A. / JBS USA","Company"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident","United Natural Foods, Inc. (UNFI)","Company"
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident","Dole plc (Dole Food Company)","Company"
"Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Incident","Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Company"
"Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","Incident","NEW Cooperative Inc.","Company"
"Agriculture, Forestry, Fishing and Food Production::KP Snacks","Incident","KP Snacks","Company"
"Agriculture, Forestry, Fishing and Food Production::Maple Leaf Foods","Incident","Maple Leaf Foods","Company"
"Construction::Ferrovial","Incident","Ferrovial","Company"
"Construction::Balfour Beatty","Incident","Balfour Beatty","Company"
"Construction::Bechtel Corporation","Incident","Bechtel Corporation","Company"
"Construction::Kier Group plc (KIER.CO.UK)","Incident","Kier Group plc (KIER.CO.UK)","Company"
"Construction::Kajima Europe","Incident","Kajima Europe","Company"
"Construction::AECOM","Incident","AECOM","Company"
"Construction::Turner Construction Company","Incident","Turner Construction Company","Company"
"Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Incident","PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Company"
"Educational Services::Instructure Holdings, Inc. (Canvas LMS)","Incident","Instructure Holdings, Inc. (Canvas LMS)","Company"
"Educational Services::University of Hawai'i Cancer Center","Incident","University of Hawai'i Cancer Center","Company"
"Educational Services::Highline Public Schools","Incident","Highline Public Schools","Company"
