from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","United States","Country"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","United States","Country"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident","United States","Country"
"Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Incident","Australia","Country"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident","United States","Country"
"Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Incident","Norway/Scandinavia","Country"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident","United States","Country"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident","France","Country"
"Accommodation, Food Services, Arts and Entertainment::Inspired Entertainment, Inc.","Incident","United States","Country"
"Accommodation, Food Services, Arts and Entertainment::Yum! Brands, Inc.","Incident","United States","Country"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident","Brazil / United States / Canada / Australia","Country"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident","United States","Country"
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident","United States / Chile","Country"
"Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Incident","Netherlands / United States","Country"
"Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","Incident","United States","Country"
"Agriculture, Forestry, Fishing and Food Production::KP Snacks","Incident","United Kingdom","Country"
"Agriculture, Forestry, Fishing and Food Production::Maple Leaf Foods","Incident","Canada","Country"
"Construction::Ferrovial","Incident","Spain","Country"
"Construction::Balfour Beatty","Incident","United Kingdom","Country"
"Construction::Bechtel Corporation","Incident","United States","Country"
"Construction::Kier Group plc (KIER.CO.UK)","Incident","United Kingdom","Country"
"Construction::Kajima Europe","Incident","United Kingdom / continental Europe operations of Kajima Corporation","Country"
"Construction::AECOM","Incident","United States","Country"
"Construction::Turner Construction Company","Incident","United States","Country"
"Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Incident","US","Country"
"Educational Services::Instructure Holdings, Inc. (Canvas LMS)","Incident","US","Country"
"Educational Services::University of Hawai'i Cancer Center","Incident","US","Country"
"Educational Services::Highline Public Schools","Incident","US","Country"
"Educational Services::British Library","Incident","GB","Country"
"Educational Services::University of Manchester","Incident","GB","Country"
"Educational Services::Minneapolis Public Schools (Special School District No. 1)","Incident","US","Country"
"Educational Services::Los Angeles Unified School District (LAUSD)","Incident","US","Country"
"Energy and Utilities::Colonial Pipeline","Incident","USA","Country"
"Energy and Utilities::Halliburton","Incident","USA","Country"
"Energy and Utilities::Suncor Energy / Petro-Canada","Incident","Canada","Country"
"Energy and Utilities::Encevo Group (Creos & Enovos, Luxembourg)","Incident","Luxembourg","Country"
"Energy and Utilities::Conpet","Incident","Romania","Country"
"Energy and Utilities::Ecopetrol","Incident","Colombia","Country"
"Energy and Utilities::Newpark Resources, Inc.","Incident","United States","Country"
"Finance and Insurance::CNA Financial Corporation","Incident","United States","Country"
"Finance and Insurance::Industrial and Commercial Bank of China (ICBC) - U.S. broker-dealer/financial services unit","Incident","China / United States","Country"
"Finance and Insurance::Fidelity National Financial (FNF)","Incident","United States","Country"
"Finance and Insurance::ION Group / ION Cleared Derivatives","Incident","United Kingdom","Country"
"Finance and Insurance::Evolve Bank & Trust","Incident","United States","Country"
"Finance and Insurance::Central Bank of Libya","Incident","Libya","Country"
"Finance and Insurance::Frost Bank and Citizens Financial Group (Citizens Bank) - shared third-party vendor breach","Incident","United States","Country"
"Finance and Insurance::Deutsche Bank (via third-party marketing/incentive platform vendor)","Incident","Germany","Country"
"Finance and Insurance::SEI Investments Company","Incident","United States","Country"
"Finance and Insurance::River Financial Corporation","Incident","United States","Country"
"Finance and Insurance::Navient Corporation","Incident","United States","Country"
"Finance and Insurance::Prudential Financial, Inc.","Incident","United States","Country"
"Finance and Insurance::Globe Life Inc.","Incident","United States","Country"
"Healthcare and Social Assistance::Change Healthcare (subsidiary of UnitedHealth Group/Optum)","Incident","United States","Country"
"Healthcare and Social Assistance::Universal Health Services (UHS) — ~400 US hospitals/care sites","Incident","United States","Country"
"Healthcare and Social Assistance::Health Service Executive (HSE) — Ireland's national public health system","Incident","Ireland","Country"
"Healthcare and Social Assistance::CommonSpirit Health — ~140+ hospitals across ~13 US states","Incident","United States","Country"
"Healthcare and Social Assistance::Lehigh Valley Health Network (LVHN)","Incident","United States","Country"
"Healthcare and Social Assistance::Medibank Private (major Australian health insurer)","Incident","Australia","Country"
"Healthcare and Social Assistance::Synnovis (pathology/blood-testing partner for NHS trusts in London)","Incident","United Kingdom","Country"
"Healthcare and Social Assistance::Enzo Biochem, Inc.","Incident","United States","Country"
"Healthcare and Social Assistance::Omnicell, Inc.","Incident","United States","Country"
"Healthcare and Social Assistance::Akumin Inc.","Incident","United States","Country"
"Healthcare and Social Assistance::DaVita Inc.","Incident","United States","Country"
"Healthcare and Social Assistance::TELA Bio, Inc.","Incident","USA","Country"
"Healthcare and Social Assistance::Stryker","Incident","not publicly disclosed","Country"
"Healthcare and Social Assistance::Allied Healthcare Products, Inc.","Incident","USA","Country"
"Healthcare and Social Assistance::Change Healthcare Solutions LLC","Incident","Canada","Country"
"Information Technology::Kaseya (VSA platform)","Incident","United States","Country"
"Information Technology::Progress Software (MOVEit Transfer)","Incident","United States","Country"
"Information Technology::CDK Global","Incident","United States","Country"
"Information Technology::Ingram Micro","Incident","United States","Country"
"Information Technology::Quanta Computer (Apple supplier)","Incident","Taiwan","Country"
"Information Technology::Software AG","Incident","Germany","Country"
