from,from_label,to,to_label
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","ALPHV","Group"
"Accommodation, Food Services, Arts and Entertainment::MGM Resorts International","Incident","BlackCat","Group"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","Scattered Spider","Group"
"Accommodation, Food Services, Arts and Entertainment::Caesars Entertainment","Incident","ALPHV-linked extortion","Group"
"Accommodation, Food Services, Arts and Entertainment::Carnival Corporation & plc","Incident","ShinyHunters","Group"
"Accommodation, Food Services, Arts and Entertainment::Compass Group Australia (Sydney-based catering/support services group)","Incident","Medusa","Group"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident","Unclaimed","Group"
"Accommodation, Food Services, Arts and Entertainment::Panera Bread","Incident","unattributed","Group"
"Accommodation, Food Services, Arts and Entertainment::Nordic Choice Hotels","Incident","Conti","Group"
"Accommodation, Food Services, Arts and Entertainment::Rivers Casino Des Plaines / Rush Street Gaming","Incident","Cicada3301 (2023 breach discovered Nov 2023","Group"
"Accommodation, Food Services, Arts and Entertainment::Disneyland Paris","Incident","Anubis","Group"
"Accommodation, Food Services, Arts and Entertainment::Inspired Entertainment, Inc.","Incident","not publicly disclosed","Group"
"Accommodation, Food Services, Arts and Entertainment::Yum! Brands, Inc.","Incident","not publicly disclosed","Group"
"Agriculture, Forestry, Fishing and Food Production::JBS S.A. / JBS USA","Incident","REvil","Group"
"Agriculture, Forestry, Fishing and Food Production::United Natural Foods, Inc. (UNFI)","Incident","Not publicly attributed","Group"
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Incident","Ransomware","Group"
"Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Incident","INC Ransom","Group"
"Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","Incident","BlackMatter","Group"
"Agriculture, Forestry, Fishing and Food Production::KP Snacks","Incident","Conti","Group"
"Agriculture, Forestry, Fishing and Food Production::Maple Leaf Foods","Incident","Black Basta","Group"
"Construction::Ferrovial","Incident","AiLock","Group"
"Construction::Balfour Beatty","Incident","INC Ransom","Group"
"Construction::Balfour Beatty","Incident","CoinbaseCartel","Group"
"Construction::Bechtel Corporation","Incident","Clop","Group"
"Construction::Kier Group plc (KIER.CO.UK)","Incident","Clop","Group"
"Construction::Kajima Europe","Incident","Qilin","Group"
"Construction::AECOM","Incident","Pysa","Group"
"Construction::Turner Construction Company","Incident","Everest","Group"
"Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Incident","Not a named ransomware brand - single-actor extortion","Group"
"Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Incident","US DOJ charged Matthew D. Lane","Group"
"Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","Incident","then a 19-year-old student at Assumption University","Group"
"Educational Services::Instructure Holdings, Inc. (Canvas LMS)","Incident","shinyhunters","Group"
"Educational Services::University of Hawai'i Cancer Center","Incident","noescape (per ransomware.live leak-site attribution","Group"
"Educational Services::University of Hawai'i Cancer Center","Incident","press reporting did not definitively confirm the group)","Group"
"Educational Services::Highline Public Schools","Incident","Not publicly attributed (district confirmed ransomware","Group"
"Educational Services::Highline Public Schools","Incident","FBI engaged)","Group"
"Educational Services::British Library","Incident","rhysida","Group"
"Educational Services::University of Manchester","Incident","Not publicly attributed to a named leak-site brand","Group"
"Educational Services::University of Manchester","Incident","US higher education in 2023","Group"
"Educational Services::Minneapolis Public Schools (Special School District No. 1)","Incident","medusa","Group"
"Educational Services::Los Angeles Unified School District (LAUSD)","Incident","vicesociety","Group"
"Energy and Utilities::Colonial Pipeline","Incident","DarkSide","Group"
"Energy and Utilities::Halliburton","Incident","RansomHub","Group"
"Energy and Utilities::Suncor Energy / Petro-Canada","Incident","Not publicly attributed","Group"
"Energy and Utilities::Encevo Group (Creos & Enovos, Luxembourg)","Incident","ALPHV","Group"
"Energy and Utilities::Encevo Group (Creos & Enovos, Luxembourg)","Incident","BlackCat","Group"
"Energy and Utilities::Conpet","Incident","Qilin","Group"
"Energy and Utilities::Ecopetrol","Incident","TheGentlemen","Group"
"Energy and Utilities::Newpark Resources, Inc.","Incident","not publicly disclosed","Group"
"Finance and Insurance::CNA Financial Corporation","Incident","Evil Corp","Group"
"Finance and Insurance::CNA Financial Corporation","Incident","Phoenix CryptoLocker","Group"
"Finance and Insurance::Industrial and Commercial Bank of China (ICBC) - U.S. broker-dealer/financial services unit","Incident","LockBit 3.0","Group"
"Finance and Insurance::Fidelity National Financial (FNF)","Incident","ALPHV","Group"
"Finance and Insurance::Fidelity National Financial (FNF)","Incident","BlackCat","Group"
"Finance and Insurance::ION Group / ION Cleared Derivatives","Incident","LockBit","Group"
"Finance and Insurance::Evolve Bank & Trust","Incident","LockBit","Group"
"Finance and Insurance::Central Bank of Libya","Incident","Qilin","Group"
"Finance and Insurance::Frost Bank and Citizens Financial Group (Citizens Bank) - shared third-party vendor breach","Incident","Everest","Group"
"Finance and Insurance::Deutsche Bank (via third-party marketing/incentive platform vendor)","Incident","Unsafe","Group"
"Finance and Insurance::SEI Investments Company","Incident","not publicly disclosed","Group"
"Finance and Insurance::River Financial Corporation","Incident","not publicly disclosed","Group"
"Finance and Insurance::Navient Corporation","Incident","not publicly disclosed","Group"
"Finance and Insurance::Prudential Financial, Inc.","Incident","alphv","Group"
