id,name,parent,kind
"initial access vectors::help desk call center social engineering and vishing to reset mfa or credentials scattered spider style attacks on mgm caesars","Help-desk / call-center social engineering and vishing to reset MFA or credentials (Scattered Spider-style attacks on MGM, Caesars)","Initial access vectors","hazard"
"initial access vectors::phishing and callback phishing eg silent ransom group style tactics","Phishing and callback phishing (e.g., Silent Ransom Group-style tactics)","Initial access vectors","hazard"
"initial access vectors::compromised or purchased credentials often sourced via infostealer malware from employee or third party devices","Compromised or purchased credentials, often sourced via infostealer malware from employee or third-party devices","Initial access vectors","hazard"
"initial access vectors::exploitation of internet facing pms booking or pos software vulnerabilities","Exploitation of internet-facing PMS, booking, or POS software vulnerabilities","Initial access vectors","hazard"
"initial access vectors::compromise of third party it support managed service providers with privileged remote access","Compromise of third-party IT support/managed service providers with privileged remote access","Initial access vectors","hazard"
"initial access vectors::compromise via franchise partner networks with shared or federated access to corporate systems","Compromise via franchise/partner networks with shared or federated access to corporate systems","Initial access vectors","hazard"
"extortion tactics::encryption of operational systems pms pos reservations causing immediate highly visible service disruption","Encryption of operational systems (PMS, POS, reservations) causing immediate, highly visible service disruption","Extortion tactics","hazard"
"extortion tactics::data exfiltration and double triple extortion threatening publication of guest loyalty pii id scans financial data","Data exfiltration and double/triple extortion (threatening publication of guest/loyalty PII, ID scans, financial data)","Extortion tactics","hazard"
"extortion tactics::direct harassment of executives guests or loyalty program members with stolen data","Direct harassment of executives, guests, or loyalty-program members with stolen data","Extortion tactics","hazard"
"extortion tactics::publication of sensitive operational or ip like materials eg unreleased attraction designs menus pricing as leverage distinct to entertainment theme park operators","Publication of sensitive operational or IP-like materials (e.g., unreleased attraction designs, menus, pricing) as leverage distinct to entertainment/theme-park operators","Extortion tactics","hazard"
"extortion tactics::timing attacks to coincide with peak seasons holidays or major events to maximize revenue loss pressure and increase likelihood of ransom payment","Timing attacks to coincide with peak seasons, holidays, or major events to maximize revenue-loss pressure and increase likelihood of ransom payment","Extortion tactics","hazard"
"extortion tactics::pure data theft extortion without encryption eg shinyhunters scattered spider linked groups increasingly skip encryption and threaten to leak only","Pure data-theft extortion without encryption (e.g., ShinyHunters/Scattered Spider-linked groups increasingly skip encryption and threaten-to-leak only)","Extortion tactics","hazard"
"operational technology ot and physical safety adjacent risk::casino floor and gaming machine network disruption","Casino floor and gaming-machine network disruption","Operational technology (OT) and physical-safety-adjacent risk","hazard"
"operational technology ot and physical safety adjacent risk::digital door lock and access control system failures stranding guests or preventing check in","Digital door-lock and access-control system failures stranding guests or preventing check-in","Operational technology (OT) and physical-safety-adjacent risk","hazard"
"operational technology ot and physical safety adjacent risk::point of sale payment terminal outages forcing cash only operations","Point-of-sale/payment terminal outages forcing cash-only operations","Operational technology (OT) and physical-safety-adjacent risk","hazard"
"operational technology ot and physical safety adjacent risk::ride attraction control and building management system exposure at theme parks and large venues","Ride/attraction control and building-management system exposure at theme parks and large venues","Operational technology (OT) and physical-safety-adjacent risk","hazard"
"operational technology ot and physical safety adjacent risk::kitchen ordering and inventory system outages disrupting food safety and service continuity","Kitchen, ordering, and inventory system outages disrupting food safety and service continuity","Operational technology (OT) and physical-safety-adjacent risk","hazard"
"third party and supply chain risk::managed service provider msp it help desk vendor compromise root cause of mgm and caesars incidents","Managed service provider (MSP) / IT help-desk vendor compromise (root cause of MGM and Caesars incidents)","Third-party and supply-chain risk","hazard"
"third party and supply chain risk::saas booking pms or supply chain platform compromise affecting many downstream hotel restaurant brands simultaneously mirrors blue yonder type incidents verizon dbir flagged for accommodation food services","SaaS booking, PMS, or supply-chain platform compromise affecting many downstream hotel/restaurant brands simultaneously (mirrors Blue Yonder-type incidents Verizon DBIR flagged for accommodation/food services)","Third-party and supply-chain risk","hazard"
"third party and supply chain risk::construction renovation or facilities contractor breaches exposing sensitive operational data disneyland paris partner breach","Construction, renovation, or facilities contractor breaches exposing sensitive operational data (Disneyland Paris partner breach)","Third-party and supply-chain risk","hazard"
"third party and supply chain risk::franchise master licensor shared infrastructure compromise cascading to independently owned locations","Franchise/master-licensor shared infrastructure compromise cascading to independently owned locations","Third-party and supply-chain risk","hazard"
"third party and supply chain risk::payment processor or gift card platform compromise","Payment processor or gift-card platform compromise","Third-party and supply-chain risk","hazard"
"insider and workforce risk::high staff turnover creating stale orphaned credentials and inconsistent access de provisioning","High staff turnover creating stale/orphaned credentials and inconsistent access de-provisioning","Insider and workforce-related risk","hazard"
"insider and workforce risk::seasonal and temporary contract staff with broad system access and less security training","Seasonal and temporary/contract staff with broad system access and less security training","Insider and workforce-related risk","hazard"
"insider and workforce risk::front desk pos level social engineering targets staff empowered to make account reservation changes","Front-desk/POS-level social engineering targets (staff empowered to make account/reservation changes)","Insider and workforce-related risk","hazard"
"insider and workforce risk::shared or weakly managed credentials across large decentralized property networks","Shared or weakly managed credentials across large, decentralized property networks","Insider and workforce-related risk","hazard"
"regulatory contractual and reputational exposure::pci dss obligations for any entity processing card payments hotels restaurants casinos ticketing","PCI-DSS obligations for any entity processing card payments (hotels, restaurants, casinos, ticketing)","Regulatory, contractual and reputational exposure","hazard"
"regulatory contractual and reputational exposure::state national breach notification laws frequent driver of disclosed incident detail in this sector as seen in maine ag filings","State/national breach-notification laws (frequent driver of disclosed incident detail in this sector, as seen in Maine AG filings)","Regulatory, contractual and reputational exposure","hazard"
"regulatory contractual and reputational exposure::gaming commission and casino regulator compliance obligations","Gaming-commission and casino-regulator compliance obligations","Regulatory, contractual and reputational exposure","hazard"
